Gene_Symbol	X88	X89	X90	X92	X93	X94	X97	X99	X101	X103	X104	X105	X108	X109	X110
Gm37323	0.1059	0.1215	0.055	0.0486	0.0534	0.0581	0	0	0.0413	0.0554	0.0565	0	0.0363	0.0462	0.0343
Gm7369	0	0	0	0	0	0	0.0886	0	0	0	0	0	0.1076	0.1367	0
Gm6085	0.1997	0.2291	0.1037	0.4587	0.3024	0.219	0.4512	0	0.1559	0.1045	0.2132	0.1987	0.2055	0.1741	0.3236
Gm6119	0	0	0	0.1118	0.1229	0.1335	0	0	0	0.1274	0	0	0	0	0.0789
Gm25493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6123	0.2747	0.1575	0.8557	0.3784	0.4159	0.3012	0.2327	0.2807	0.6432	0.5749	0.733	0.5463	0.4709	0.3592	0.267
Mrpl15	6.5385	6.5085	6.3591	6.2921	6.6348	6.1839	5.5489	6.2758	6.8461	5.7568	6.2224	6.245	6.5839	6.3342	6.4013
Gm37144	0.8936	1.318	2.1211	1.1726	1.0308	0.56	0.9373	0.7828	0.6976	0.8016	1.2264	0.6348	0.7879	0.5565	1.4892
Lypla1	26.3408	26.045	22.127	21.6667	22.1082	23.4781	23.1849	25.7653	28.5499	28.3416	27.2837	27.5467	29.1684	28.2865	27.6179
Gm37988	0.5338	0.4083	0.1848	0	0.7185	0.1951	0.402	0	0.2778	0	0	0	0.122	0.3103	0.346
Tcea1	83.5971	75.5801	60.1336	73.7054	68.3204	75.9324	70.3246	76.435	78.6668	73.7913	76.1453	71.2384	78.0882	72.2502	73.2269
Gm6104	0.2435	0.2793	0.2528	0.6709	1.2287	1.6019	0.825	0.2488	0.7602	0.2548	0	0.9686	0.5009	0.6368	0.1578
Gm37277	0	0	0	0.4855	0	0.2898	0.0746	0	0.5158	0.2766	0	0	0.0906	0.2304	0.2569
Rgs20	0.2424	0.0397	0.1798	0.1909	0.0699	0.1519	0.1369	0.177	0.1081	0.1087	0.0739	0.31	0.1425	0.2416	0.1122
Gm17100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3498
Gm37079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v1h	17.4582	16.8823	16.9726	15.8844	16.2232	17.2123	16.3848	21.9988	19.6841	20.8724	20.0666	21.888	19.8344	21.486	19.8275
Gm7182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37567	0	0	0	0	0	0	0.0364	0.0658	0	0.0674	0	0	0	0	0
Gm38264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oprk1	0	0	0	0	0	0	0	0.0164	0.0125	0.0336	0	0.016	0.033	0	0
Gm36965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0529
Npbwr1	0.0795	0.0912	0.1652	0.1096	0.0803	0.1308	0.1572	0.1626	0.1242	0.2081	0.2122	0.2768	0.0818	0.0693	0.2577
Gm19214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rb1cc1	18.5981	17.9987	13.9795	18.9012	17.3301	18.8387	19.2631	18.6906	20.0258	19.1086	18.1561	18.5171	18.4295	19.0383	19.7932
4732440D04Rik	2.4612	2.6993	1.9661	2.9067	2.7573	2.1948	2.4287	2.3771	2.0479	2.2928	2.6849	3.4162	1.6694	2.0515	3.1025
Alkal1	11.944	14.2219	19.1552	13.4712	16.4817	15.7508	10.6734	15.7607	18.6477	15.1902	20.0118	19.9993	17.5232	26.8912	17.6375
Gm2147	0.2297	0.2636	0.2386	0.4221	1.3914	0.7558	0.6488	0	0.538	0.4809	0.9809	0.914	0.7878	1.2018	1.3401
Gm7417	0.3104	1.4242	0.967	0	1.2531	0.3404	0.3506	0.3172	0.4846	0.9745	2.3191	0.9261	0.6386	1.0824	0.8046
Gm19026	0	0	0	0	0.0327	0	0	0	0	0	0	0	0	0	0
St18	0.0454	0.1042	0.0236	0.1252	0.1146	0.0747	0.0898	0.3714	0.1064	0.3328	0.2424	0.4744	0.1713	0.1782	0.1619
Gm42492	0	0	0	0	0	0.0552	0.0284	0	0	0.0527	0	0.0501	0	0	0
Gm7449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37108	0.469	0	0.2435	0.6463	0	0.5143	0.1324	0.719	0.1831	0.2454	0.2503	0	0.1608	0.6134	0
Gm37275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcmtd1	46.4863	43.3296	36.8654	51.395	45.3412	47.6871	47.7231	42.4582	46.1571	46.3191	43.3331	46.1684	40.2328	43.5313	46.9431
Gm26983	0.3784	0	0	0	0.3819	0	0	0	0.2954	0.396	0	0.3763	0	0	0
Gm38372	1.4579	1.2961	0.4163	1.9083	1.9498	1.3989	2.1613	1.2292	1.3941	1.869	1.2449	2.1024	0.7998	1.1757	1.8188
Gm9826	0.113	0	0.1174	0	0	0.1239	0.1915	0	0	0	0.2413	0.2248	0.155	0.1971	0.0732
Nras-ps2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26901	0	0.1164	0.0703	0	0.1025	0.1484	0.0191	0	0.0264	0.0354	0.0361	0.0337	0	0	0.0877
Gm18984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm30414	0	0	0	0.0519	0.0571	0.062	0	0	0.0441	0	0	0.0562	0	0	0
Gm37791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps2-ps2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sntg1	0.0269	0.0154	0	0.0124	0	0	0	0.0275	0	0	0.0144	0	0	0.0352	0.0174
Gm38024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16284	1.101	1.2631	0.3811	1.0114	1.1114	0.4025	0.8291	1.8754	0.8595	0.3841	1.5671	1.0951	1.7619	0.32	1.4272
Gm38259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15452	0	0	0	0	1.2349	0	0	0	0	0	0	0	0	0	0
Gm36964	0.7414	0	0	0.6811	0	0	0.4187	1.5155	0	0	0	0.7374	0	0	0.9611
Gm24276	1.3346	1.531	1.386	1.2259	0	1.4635	0.7537	0	1.0418	0	1.4246	0	0	1.1636	0
Gm6152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7493	0	0	0	0.2154	0	0	0	0	0	0.2454	0	0	0	0	0
Gm37629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm18299	0	0	0	0.4241	0	0	0	0	0	0	0	0	0	0	0
Gm7512	0	0	0	0	0	0	0.0709	0	0	0	0	0	0	0	0
Gm24765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm18300	0.3132	0.2396	0	0.3836	0	0	0.1179	0.1067	0	0.2186	0.1115	0.1038	0	0	0.4737
Rrs1	35.0528	39.8819	35.5831	32.7251	30.2444	32.7796	32.9539	37.5088	35.421	29.6332	35.121	33.7932	41.0489	32.6867	35.2611
Adhfe1	9.7871	6.9056	6.8162	10.9165	7.4876	9.0716	9.4755	6.7873	8.6708	7.357	8.084	6.8756	6.6588	6.5353	9.011
2610203C22Rik	4.0962	4.6304	3.6018	4.4218	4.2554	3.5411	3.4448	3.3613	4.4813	4.287	4.6597	3.6874	4.4086	4.171	4.8444
Gm6161	0.3997	0.6113	0.9684	0.3671	0.4034	0.5844	0.1505	0.1361	0.104	0	0	0.1325	0.4568	0.3484	0.259
3110035E14Rik	0.1804	0.0517	0.0936	0.3313	0.2731	0.2967	0.2037	0.0461	0	0.2359	0.385	0.3139	0.1855	0.1179	0.1461
Gm29520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mybl1	1.7665	1.8082	1.5522	1.348	1.2344	1.8775	1.719	2.4719	2.376	1.6496	2.1467	2.6488	2.1247	2.3931	2.2721
Vcpip1	18.9587	19.0883	14.262	19.2684	18.1334	19.8326	19.3564	19.8683	21.0887	20.3775	18.0993	19.8144	19.219	20.2715	21.3341
1700034P13Rik	0.7101	0.7603	0.3441	1.0002	0.5256	0.7787	0.6684	0.4354	0.813	0.5946	0.6569	0.6121	0.6818	0.2889	0.5216
Sgk3	4.7598	4.6247	3.4942	4.8151	4.1729	4.3985	4.2988	4.2041	4.2041	5.1855	4.2267	4.3769	3.7849	4.2484	4.4079
Gm6195	0.4112	0	0	0	0	0	0	0.4203	0.321	0	0	0	0.282	0	0.2665
Gm22607	0	0	0	0	0	0	0	0	0	0	0	1.3906	0	0	0
Mcmdc2	0	0.0285	0.0258	0.0456	0.025	0.0272	0.028	0.0507	0	0.026	0	0	0.034	0	0
Snhg6	11.9136	15.2831	15.2988	15.7679	17.0682	12.3622	15.3378	11.9138	11.6	11.5299	14.6313	13.3778	11.8603	11.9508	12.7856
Snord87	3.3748	1.9357	3.5047	1.55	1.7033	0	5.718	1.7245	1.3172	3.532	7.2049	0	1.1572	1.4712	1.0936
Tcf24	1.2604	0.9238	1.0181	1.0613	1.1662	1.3822	1.2062	1.3239	1.4212	0.9161	0.6727	1.3929	1.5848	0.7632	1.4295
E330040D14Rik	0.3205	0	0	0.0981	0.1078	0	0.0603	0.3276	0.2502	0	0.1141	0	0.3664	0.0932	0.1385
Ppp1r42	1.2531	2.6538	1.2012	1.5052	1.7513	1.2685	1.7421	1.6747	2.4831	1.6141	1.7492	2.8761	2.5121	1.4287	3.0611
Gm15818	0	0.2567	0	0.2056	0.2259	0	0.1264	0	0.3494	0.2342	0	0.2226	0	0.1951	0
Gm24674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cops5	32.9787	32.8678	36.0292	33.7306	33.4455	35.2672	35.8415	39.3215	38.4639	38.7982	38.6563	37.1421	37.6415	40.0033	35.3444
Cspp1	5.0516	5.1905	4.0127	4.84	4.9048	3.6686	4.9785	4.4789	5.086	5.0243	4.9369	4.966	4.5772	4.3971	5.7511
1700047N06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arfgef1	45.7487	43.4338	32.9213	43.9058	45.6149	42.6015	43.3236	40.9091	48.41	45.1507	43.3094	43.8751	43.6952	44.4449	44.1004
Gm26348	0	2.1051	0	0	1.8523	0.6708	1.3819	0.6251	0.4775	0	0.6529	0.6084	1.2585	0	0.3964
Gm37569	0	0	0.0885	0	0	0	0	0	0.0666	0	0	0.0848	0	0	0
Cpa6	0.0215	0	0	0	0	0	0.0121	0.0219	0.0168	0	0.0229	0	0	0.0374	0.0139
Gm38005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15603	0.5968	0.6846	0	0	0.6024	0.3272	0.1685	0.3049	0	0.6246	0.3185	0.2968	0.2046	0.5203	0
Gm37133	0	0	0	0	0	0	0	0	0	0	0	0.076	0	0	0
Gm5522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28659	0	0	0	0	0	0	0	0	0	0	0.2065	0	0	0	0.2507
Gm22963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prex2	67.8211	63.7577	38.5708	73.1698	58.0634	66.6387	69.2881	55.2662	69.1991	63.9677	60.7519	60.4996	59.1935	59.7483	68.3581
Gm24173	0	0	1.1911	0	0	0	0	0	0	1.2003	0	0	0	0	0
Gm28686	0.2411	0	0.2503	0	0	0	0.1361	0	0	0	0.2573	0	0.3306	0	0.1562
Gm37410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A830018L16Rik	0.7833	0.7152	0.4317	0.6021	0.4518	0.5259	0.7404	0.5882	1.0358	0.9202	0.7338	0.5406	0.8552	0.4739	0.8289
Gm38178	0.0594	0	0	0	0	0	0	0.0607	0	0	0	0	0	0	0
Gm29273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38069	0	0	0	0	0.0691	0	0.0387	0	0	0	0	0	0	0	0.0444
Gm7560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8892
Mir6341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2383	0	0	0.1889	0	0	0	0	0	0	0	0	0	0.1248	0	0
Gm6216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulf1	12.4786	11.094	8.5853	13.4445	10.3258	13.5274	14.4474	14.0284	14.0232	12.57	11.4192	11.9455	11.9276	9.9732	13.8665
Slco5a1	0.4135	0.423	0.1857	1.1291	0.846	1.348	0.8583	0.7652	0.7153	1.1929	1.0378	0.9225	0.3985	1.0036	1.4702
Gm37162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prdm14	0	0.0657	0	0.0526	0	0	0.0647	0.0585	0.0447	0	0	0.1139	0	0	0
Ncoa2	17.194	15.6652	11.1209	16.8025	14.9206	15.4999	16.225	14.7235	16.0889	16.1677	15.5383	14.8978	14.0832	14.7947	15.2917
Gm38376	0.3258	0.1495	0.2707	0.1796	0.1315	0.0715	0.0736	0.0666	0.1017	0	0	0.0648	0.0447	0	0.0845
Gm37409	0	0	0.0938	0.0829	0	0	0	0	0	0	0	0	0	0	0
Gm27881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37702	0	0	0	0	0	0	0	0	0	0	0.0837	0	0	0	0
Gm23169	0	0	0	1.204	0	0	0	1.3396	0	0	0	0	0	0	0
Gm38120	0.0633	0	0.0657	0.0291	0.0319	0	0.0179	0.0323	0.0247	0	0.1013	0.0629	0.0217	0	0
Gm38380	0	0	0.0678	0	0.0659	0	0	0.0667	0	0.1367	0	0.065	0	0.1139	0.2116
Gm29570	0	0	0.2239	0	0	0	0.487	0.2203	0	0	0.4602	0.4288	0	0.188	0.1397
Gm7593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tram1	132.6917	129.7949	113.6914	119.7964	122.3611	124.077	116.2905	126.88	122.8639	132.4573	123.1046	125.3226	131.6296	125.6086	125.5955
Lactb2	32.0555	29.027	28.0472	34.0819	31.6747	30.8158	32.0495	31.4134	31.4988	33.7502	34.5947	34.5997	30.7157	32.1534	32.0274
Gm38319	0.9277	0.9312	0.2408	1.0652	0.4682	0.3815	1.2443	0.3555	0.3621	0.4854	1.114	0.692	0.3181	0.5055	0.6764
Xkr9	0	0.0874	0.0792	0	0	0.0836	0	0.1558	0.0595	0.1595	0.0814	0.0758	0.0523	0.0665	0.0494
Gm26273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5523	0	0	0	0.1353	0.1486	0	0	0.1505	0	0.1541	0.1572	0	0.101	0	0
Gm36947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eya1	3.1587	2.3079	2.1283	2.7806	2.1066	2.7835	3.1219	2.2674	2.6566	1.7907	2.2077	2.0944	2.4629	2.0819	2.1325
Gm22616	0	0	0	0	0	0	0	0	0	0	1.5671	0	1.0068	0	0
Gm37444	0	0	0	0	0	0	0	0	0	0	0.357	0	0	0	0
Gm9947	0.1235	0.1417	0.0428	0.1134	0.0831	0.1354	0.1163	0.0841	0.1285	0.1293	0.0439	0.1228	0.1976	0.1795	0.2134
Msc	0.6919	0.8599	0.6587	0.4237	0.2328	0.3162	0.7164	1.4732	0.4051	0.7242	0.4924	0.9749	0.6327	0.4022	0.7848
Gm37412	0	0	0	0.0312	0	0.0745	0.0192	0.0347	0.0265	0	0.0363	0	0	0.0296	0.0661
Smt3h2-ps4	0	0	0	0.4682	0	0	0	0	0	0	0	0	0	0	0
Rpl5-ps1	0.6568	0.5651	0.3411	0.4525	0.3315	0.3602	0.1855	0.3356	0.1282	1.0312	0.8764	0.49	0.7883	0.2863	0.3193
Trpa1	0	0.079	0	0	0	0.0378	0	0	0.0269	0	0.0368	0	0.0236	0	0
Gm26345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10566	0	0	0	0	0	0	0	0	0.2301	0.1543	0	0.1466	0	0	0.0955
Kcnb2	0.1065	0.0444	0.0101	0.0178	0.0293	0.0743	0.1421	0.1187	0.136	0.1013	0.1033	0.154	0.1461	0.1266	0.0878
Gm38116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37138	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0613	0
Gm25227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Terf1	7.5187	7.4556	6.9479	8.4867	7.5249	6.8476	8.4566	7.3911	8.1325	8.1356	8.0597	8.682	7.4505	7.472	8.321
Gm37509	0.3243	0.372	0.3368	0.766	0.187	0.4572	0.4448	0.3314	0.3255	0.5333	0.3461	0.645	0.2542	0.5655	0.2702
Sbspon	1.8164	2.0224	0.9986	1.325	1.2942	1.9333	1.7801	1.3104	2.1269	1.6773	2.1099	1.9659	1.722	1.6302	1.9735
Gm23259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7634	0	0	0	0	0	0	0	0	0	0	0	0	0.1821	0	0
4930444P10Rik	0.6405	0.3265	0.8868	0.7844	0.5746	1.0145	0.844	0.8727	0.8333	1.0427	0.6077	0.8493	0.5368	1.0547	1.4297
Rpl7	465.6046	439.291	507.9798	490.4219	468.2628	491.7159	454.7611	436.4817	448.8057	442.4588	436.2914	417.3256	451.8066	437.2474	407.1348
Rdh10	25.1617	25.1398	19.4235	25.0252	23.2961	24.7676	24.8135	22.5053	22.8925	24.1175	22.4511	24.1828	22.9435	22.861	24.4494
Gm38249	0	0	0	0	0	0	0.0357	0	0	0	0	0	0	0	0
Gm28095	0	0	0	0.089	0.0978	0	0	0	0.0756	0	0.1034	0	0	0.169	0
Stau2	8.8123	8.3618	8.0668	9.114	8.9608	9.8068	9.155	9.651	10.1573	10.6573	9.6852	9.1973	8.9683	9.8839	9.3213
Gm7568	0	0	0	0.2689	0	0	0	0	0	0	0.1562	0	0	0	0
Ube2w	19.6833	20.0177	19.6059	21.4722	20.1385	20.1482	19.5421	21.0293	23.8267	21.8466	20.8199	23.7525	22.1374	24.5089	24.0081
Gm38342	0.0493	0.2826	0.1023	0.1358	0.0497	0.1621	0.1948	0.1007	0.1538	0.0516	0	0.049	0.0676	0.0859	0.1277
Eloc	42.1109	37.0098	42.8752	43.138	38.6373	41.604	41.6473	44.4751	43.8936	44.4782	44.4327	44.7293	44.0518	45.0062	45.6543
D030040B21Rik	0	0	0	0.0484	0	0	0.0297	0.0538	0	0	0	0	0	0.0459	0
Gm7654	0.2149	0	0.2232	0	0	0	0	0	0	0	0	0	0	0.1874	0
Tmem70	29.3612	30.8132	30.575	26.2293	26.0542	27.6867	28.29	28.2759	30.6651	26.3387	28.7581	27.6776	33.4126	31.5069	29.9548
Ly96	7.9082	7.9173	8.2126	8.0567	8.2727	8.83	6.7401	13.2254	9.6529	11.1357	9.3624	13.7286	8.579	10.9067	11.7416
Gm29649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5828	0.5525	0.5433	0.2459	0.29	0.239	0.1731	0.8024	0.6453	0.3081	0.2478	0.5055	0.314	0.3789	0.6882	0.5627
Gm28376	0	0	0	0	0	0	0.4711	0	0.6511	0.873	0	0	0	0	0.5406
4921511E07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jph1	2.7317	1.8195	1.2506	2.1855	1.5121	4.896	2.14	1.621	2.3846	1.2296	1.5363	1.0809	1.7727	1.511	1.7133
Gm28783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gdap1	0.076	0.0218	0.0197	0.0523	0.0767	0.0833	0.0643	0.0194	0.1038	0.0199	0.1013	0.1322	0.0781	0.0166	0.0985
Gm28784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2016
Rbm6-ps1	0.1535	0.1174	0.1062	0.094	0.2582	0.1122	0.0578	0.2091	0.1997	0.0535	0.1638	0.0509	0.0702	0.0446	0.0995
Gm6075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pi15	7.5492	8.2951	3.8318	4.8112	4.4307	6.2322	5.6048	9.644	8.6906	7.5235	6.8812	7.8246	9.1475	11.6848	9.208
Gm28154	0	0	0.0361	0	0.0351	0	0.059	0.0356	0.0272	0.1093	0.0372	0.1038	0.0239	0.2124	0.0451
Gm16070	0	0	0	0.0485	0	0	0.0298	0	0	0.0368	0.0376	0.07	0.0121	0.046	0.1026
Crispld1	1.9184	2.8348	2.2624	3.5243	1.8051	3.3874	3.2687	3.888	2.5128	4.2877	4.8244	4.9155	3.1888	7.0873	4.6361
Gm28153	0	0	0	0	0	0	0.2636	0	0	0	0.2491	0	0	0	0.1513
Gm7690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm18775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm45784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10075	0	0.618	0.8392	0	0.8157	0.2954	0.3043	0.2753	0.2103	0	0.2875	0.5358	0.1847	0	0
Tfap2b	0	0	0	0	0.0234	0	0.0131	0	0.0181	0.0242	0	0.0461	0	0.0202	0.015
Gm28340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm4849	0	0	0.0679	0	0.066	0	0	0	0	0	0	0	0.0448	0	0
Gm24633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pkhd1	0.1949	0.2118	0.309	0.245	0.6317	0.18	0.2376	0.2202	0.2883	0.1825	0.3285	0.3673	0.1196	0.1878	0.1529
Gm37315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930486I03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15795	0.2655	0.3045	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28653	0	0	0	0	0	0.061	0	0	0	0	0.0297	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
