Gene,S4,S5,S6,S7,S8,S9,S11,S13,S14,SYMBOL
ENSMUSG00000086195,0,0,0,0,0,0,0,0,0,Gm6152
ENSMUSG00000104504,0,0,0,0,0,0,0,0,0,Gm7445
ENSMUSG00000066693,0,0,0,0.2154,0,0,0,0,0,Gm7493
ENSMUSG00000102316,0,0,0,0,0,0,0,0,0,Gm37629
ENSMUSG00000103819,0,0,0,0,0,0,0,0,0,Gm38008
ENSMUSG00000102871,0,0,0,0,0,0,0,0,0,Gm37143
ENSMUSG00000101571,0,0,0,0,0,0,0,0,0,Gm6187
ENSMUSG00000104428,0,0,0,0.4241,0,0,0,0,0,Gm18299
ENSMUSG00000102272,0,0,0,0,0,0,0.0709,0,0,Gm7512
ENSMUSG00000065625,0,0,0,0,0,0,0,0,0,Gm24765
ENSMUSG00000103411,0.3132,0.2396,0,0.3836,0,0,0.1179,0.1067,0,Gm18300
ENSMUSG00000061024,35.0528,39.8819,35.5831,32.7251,30.2444,32.7796,32.9539,37.5088,35.421,Rrs1
ENSMUSG00000025911,9.7871,6.9056,6.8162,10.9165,7.4876,9.0716,9.4755,6.7873,8.6708,Adhfe1
ENSMUSG00000079671,4.0962,4.6304,3.6018,4.4218,4.2554,3.5411,3.4448,3.3613,4.4813,2610203C22Rik
ENSMUSG00000081441,0.3997,0.6113,0.9684,0.3671,0.4034,0.5844,0.1505,0.1361,0.104,Gm6161
ENSMUSG00000067879,0.1804,0.0517,0.0936,0.3313,0.2731,0.2967,0.2037,0.0461,0,3110035E14Rik
ENSMUSG00000099827,0,0,0,0,0,0,0,0,0,Gm29520
ENSMUSG00000025912,1.7665,1.8082,1.5522,1.348,1.2344,1.8775,1.719,2.4719,2.376,Mybl1
ENSMUSG00000045210,18.9587,19.0883,14.262,19.2684,18.1334,19.8326,19.3564,19.8683,21.0887,Vcpip1
ENSMUSG00000097893,0.7101,0.7603,0.3441,1.0002,0.5256,0.7787,0.6684,0.4354,0.813,1700034P13Rik
ENSMUSG00000025915,4.7598,4.6247,3.4942,4.8151,4.1729,4.3985,4.2988,4.2041,4.2041,Sgk3
ENSMUSG00000046334,0.4112,0,0,0,0,0,0,0.4203,0.321,Gm6195
ENSMUSG00000088916,0,0,0,0,0,0,0,0,0,Gm22607
ENSMUSG00000046101,0,0.0285,0.0258,0.0456,0.025,0.0272,0.028,0.0507,0,Mcmdc2
ENSMUSG00000098234,11.9136,15.2831,15.2988,15.7679,17.0682,12.3622,15.3378,11.9138,11.6,Snhg6
ENSMUSG00000093178,3.3748,1.9357,3.5047,1.55,1.7033,0,5.718,1.7245,1.3172,Snord87
ENSMUSG00000099032,1.2604,0.9238,1.0181,1.0613,1.1662,1.3822,1.2062,1.3239,1.4212,Tcf24
ENSMUSG00000104025,0.3205,0,0,0.0981,0.1078,0,0.0603,0.3276,0.2502,E330040D14Rik
ENSMUSG00000025916,1.2531,2.6538,1.2012,1.5052,1.7513,1.2685,1.7421,1.6747,2.4831,Ppp1r42
ENSMUSG00000087199,0,0.2567,0,0.2056,0.2259,0,0.1264,0,0.3494,Gm15818
ENSMUSG00000095780,0,0,0,0,0,0,0,0,0,Gm24674
ENSMUSG00000025917,32.9787,32.8678,36.0292,33.7306,33.4455,35.2672,35.8415,39.3215,38.4639,Cops5
ENSMUSG00000056763,5.0516,5.1905,4.0127,4.84,4.9048,3.6686,4.9785,4.4789,5.086,Cspp1
ENSMUSG00000102356,0,0,0,0,0,0,0,0,0,1700047N06Rik
ENSMUSG00000067851,45.7487,43.4338,32.9213,43.9058,45.6149,42.6015,43.3236,40.9091,48.41,Arfgef1
ENSMUSG00000088153,0,2.1051,0,0,1.8523,0.6708,1.3819,0.6251,0.4775,Gm26348
ENSMUSG00000102556,0,0,0.0885,0,0,0,0,0,0.0666,Gm37569
ENSMUSG00000042501,0.0215,0,0,0,0,0,0.0121,0.0219,0.0168,Cpa6
ENSMUSG00000103810,0,0,0,0,0,0,0,0,0,Gm38005
ENSMUSG00000083422,0,0,0,0,0,0,0,0,0,Gm15604
ENSMUSG00000094979,0,0,0,0,0,0,0,0,0,Gm25253
ENSMUSG00000081417,0.5968,0.6846,0,0,0.6024,0.3272,0.1685,0.3049,0,Gm15603
ENSMUSG00000103448,0,0,0,0,0,0,0,0,0,Gm37133
ENSMUSG00000100212,0,0,0,0,0,0,0,0,0,Gm5522
ENSMUSG00000100648,0,0,0,0,0,0,0,0,0,Gm28659
ENSMUSG00000088585,0,0,0,0,0,0,0,0,0,Gm22963
ENSMUSG00000048960,67.8211,63.7577,38.5708,73.1698,58.0634,66.6387,69.2881,55.2662,69.1991,Prex2
ENSMUSG00000077318,0,0,1.1911,0,0,0,0,0,0,Gm24173
ENSMUSG00000101827,0.2411,0,0.2503,0,0,0,0.1361,0,0,Gm28686
ENSMUSG00000103494,0,0,0,0,0,0,0,0,0,Gm37410
ENSMUSG00000057715,0.7833,0.7152,0.4317,0.6021,0.4518,0.5259,0.7404,0.5882,1.0358,A830018L16Rik
ENSMUSG00000103825,0.0594,0,0,0,0,0,0,0.0607,0,Gm38178
ENSMUSG00000099845,0,0,0,0,0,0,0,0,0,Gm29273
ENSMUSG00000103561,0,0,0,0,0.0691,0,0.0387,0,0,Gm38069
ENSMUSG00000101610,0,0,0,0,0,0,0,0,0,Gm7560
ENSMUSG00000093864,0,0,0,0,0,0,0,0,0,Gm22633
ENSMUSG00000098555,0,0,0,0,0,0,0,0,0,Mir6341
ENSMUSG00000097628,0,0,0.1889,0,0,0,0,0,0,Gm2383
ENSMUSG00000098163,0,0,0,0,0,0,0,0,0,Gm6216
ENSMUSG00000097171,0,0,0,0,0,0,0,0,0,Gm17644
ENSMUSG00000101314,0,0,0,0,0,0,0,0,0,Gm29663
ENSMUSG00000016918,12.4786,11.094,8.5853,13.4445,10.3258,13.5274,14.4474,14.0284,14.0232,Sulf1
ENSMUSG00000025938,0.4135,0.423,0.1857,1.1291,0.846,1.348,0.8583,0.7652,0.7153,Slco5a1
ENSMUSG00000104518,0,0,0,0,0,0,0,0,0,Gm37162
ENSMUSG00000069620,0,0,0,0,0,0,0,0,0,Gm5250
ENSMUSG00000099498,0,0,0,0,0,0,0,0,0,Gm29283
ENSMUSG00000042414,0,0.0657,0,0.0526,0,0,0.0647,0.0585,0.0447,Prdm14
ENSMUSG00000005886,17.194,15.6652,11.1209,16.8025,14.9206,15.4999,16.225,14.7235,16.0889,Ncoa2
ENSMUSG00000103506,0.3258,0.1495,0.2707,0.1796,0.1315,0.0715,0.0736,0.0666,0.1017,Gm38376
ENSMUSG00000103495,0,0,0.0938,0.0829,0,0,0,0,0,Gm37409
ENSMUSG00000099183,0,0,0,0,0,0,0,0,0,Gm27881
ENSMUSG00000102639,0,0,0,0,0,0,0,0,0,Gm38223
ENSMUSG00000104170,0,0,0,0,0,0,0,0,0,Gm37702
ENSMUSG00000087782,0,0,0,1.204,0,0,0,1.3396,0,Gm23169
ENSMUSG00000103085,0.0633,0,0.0657,0.0291,0.0319,0,0.0179,0.0323,0.0247,Gm38120
ENSMUSG00000102664,0,0,0.0678,0,0.0659,0,0,0.0667,0,Gm38380
ENSMUSG00000101476,0,0,0.2239,0,0,0,0.487,0.2203,0,Gm29570
ENSMUSG00000101171,0,0,0,0,0,0,0,0,0,Gm7593
ENSMUSG00000025935,132.6917,129.7949,113.6914,119.7964,122.3611,124.077,116.2905,126.88,122.8639,Tram1
ENSMUSG00000025937,32.0555,29.027,28.0472,34.0819,31.6747,30.8158,32.0495,31.4134,31.4988,Lactb2
ENSMUSG00000102982,0.9277,0.9312,0.2408,1.0652,0.4682,0.3815,1.2443,0.3555,0.3621,Gm38319
ENSMUSG00000067813,0,0.0874,0.0792,0,0,0.0836,0,0.1558,0.0595,Xkr9
ENSMUSG00000077368,0,0,0,0,0,0,0,0,0,Gm26273
ENSMUSG00000097711,0,0,0,0.1353,0.1486,0,0,0.1505,0,Gm5523
ENSMUSG00000102166,0,0,0,0,0,0,0,0,0,Gm36947
ENSMUSG00000089358,0,0,0,0,0,0,0,0,0,Gm25491
ENSMUSG00000104209,0,0,0,0,0,0,0,0,0,Gm37400
ENSMUSG00000025932,3.1587,2.3079,2.1283,2.7806,2.1066,2.7835,3.1219,2.2674,2.6566,Eya1
ENSMUSG00000095853,0,0,0,0,0,0,0,0,0,Gm22616
ENSMUSG00000102588,0,0,0,0,0,0,0,0,0,Gm37444
ENSMUSG00000054493,0.1235,0.1417,0.0428,0.1134,0.0831,0.1354,0.1163,0.0841,0.1285,Gm9947
ENSMUSG00000025930,0.6919,0.8599,0.6587,0.4237,0.2328,0.3162,0.7164,1.4732,0.4051,Msc
ENSMUSG00000103492,0,0,0,0.0312,0,0.0745,0.0192,0.0347,0.0265,Gm37412
ENSMUSG00000081201,0,0,0,0.4682,0,0,0,0,0,Smt3h2-ps4
ENSMUSG00000082193,0.6568,0.5651,0.3411,0.4525,0.3315,0.3602,0.1855,0.3356,0.1282,Rpl5-ps1
ENSMUSG00000032769,0,0.079,0,0,0,0.0378,0,0,0.0269,Trpa1
ENSMUSG00000088159,0,0,0,0,0,0,0,0,0,Gm26345
ENSMUSG00000073737,0,0,0,0,0,0,0,0,0.2301,Gm10566
ENSMUSG00000092083,0.1065,0.0444,0.0101,0.0178,0.0293,0.0743,0.1421,0.1187,0.136,Kcnb2
ENSMUSG00000102937,0,0,0,0,0,0,0,0,0,Gm38116
ENSMUSG00000104149,0,0,0,0,0,0,0,0,0,Gm37138
ENSMUSG00000088829,0,0,0,0,0,0,0,0,0,Gm25227
ENSMUSG00000077377,0,0,0,0,0,0,0,0,0,Gm25168
ENSMUSG00000101652,0,0,0,0,0,0,0,0,0,Gm6060
ENSMUSG00000100814,0,0,0,0,0,0,0,0,0,Gm28669
ENSMUSG00000025925,7.5187,7.4556,6.9479,8.4867,7.5249,6.8476,8.4566,7.3911,8.1325,Terf1
ENSMUSG00000104379,0.3243,0.372,0.3368,0.766,0.187,0.4572,0.4448,0.3314,0.3255,Gm37509
ENSMUSG00000032719,1.8164,2.0224,0.9986,1.325,1.2942,1.9333,1.7801,1.3104,2.1269,Sbspon
ENSMUSG00000088943,0,0,0,0,0,0,0,0,0,Gm23259
ENSMUSG00000100652,0,0,0,0,0,0,0,0,0,Gm7634
ENSMUSG00000067795,0.6405,0.3265,0.8868,0.7844,0.5746,1.0145,0.844,0.8727,0.8333,4930444P10Rik
ENSMUSG00000043716,465.6046,439.291,507.9798,490.4219,468.2628,491.7159,454.7611,436.4817,448.8057,Rpl7
ENSMUSG00000025921,25.1617,25.1398,19.4235,25.0252,23.2961,24.7676,24.8135,22.5053,22.8925,Rdh10
ENSMUSG00000104165,0,0,0,0,0,0,0.0357,0,0,Gm38249
ENSMUSG00000100868,0,0,0,0.089,0.0978,0,0,0,0.0756,Gm28095
ENSMUSG00000025920,8.8123,8.3618,8.0668,9.114,8.9608,9.8068,9.155,9.651,10.1573,Stau2
ENSMUSG00000089982,0,0,0,0.2689,0,0,0,0,0,Gm7568
ENSMUSG00000025939,19.6833,20.0177,19.6059,21.4722,20.1385,20.1482,19.5421,21.0293,23.8267,Ube2w
ENSMUSG00000102457,0.0493,0.2826,0.1023,0.1358,0.0497,0.1621,0.1948,0.1007,0.1538,Gm38342
ENSMUSG00000079658,42.1109,37.0098,42.8752,43.138,38.6373,41.604,41.6473,44.4751,43.8936,Eloc
ENSMUSG00000097744,0,0,0,0.0484,0,0,0.0297,0.0538,0,D030040B21Rik
ENSMUSG00000100959,0.2149,0,0.2232,0,0,0,0,0,0,Gm7654
ENSMUSG00000025940,29.3612,30.8132,30.575,26.2293,26.0542,27.6867,28.29,28.2759,30.6651,Tmem70
ENSMUSG00000025779,7.9082,7.9173,8.2126,8.0567,8.2727,8.83,6.7401,13.2254,9.6529,Ly96
ENSMUSG00000100093,0,0,0,0,0,0,0,0,0,Gm29649
ENSMUSG00000091020,0.5525,0.5433,0.2459,0.29,0.239,0.1731,0.8024,0.6453,0.3081,Gm5828
ENSMUSG00000101640,0,0,0,0,0,0,0.4711,0,0.6511,Gm28376
ENSMUSG00000104133,0,0,0,0,0,0,0,0,0,4921511E07Rik
ENSMUSG00000042686,2.7317,1.8195,1.2506,2.1855,1.5121,4.896,2.14,1.621,2.3846,Jph1
ENSMUSG00000100110,0,0,0,0,0,0,0,0,0,Gm28783
ENSMUSG00000025777,0.076,0.0218,0.0197,0.0523,0.0767,0.0833,0.0643,0.0194,0.1038,Gdap1
ENSMUSG00000099899,0,0,0,0,0,0,0,0,0,Gm28784
ENSMUSG00000100272,0,0,0,0,0,0,0,0,0,Gm28785
ENSMUSG00000100398,0,0,0,0,0,0,0,0,0,Gm5251
ENSMUSG00000101589,0.1535,0.1174,0.1062,0.094,0.2582,0.1122,0.0578,0.2091,0.1997,Rbm6-ps1
ENSMUSG00000102048,0,0,0,0,0,0,0,0,0,Gm6075
ENSMUSG00000089534,0,0,0,0,0,0,0,0,0,Gm25166
ENSMUSG00000067780,7.5492,8.2951,3.8318,4.8112,4.4307,6.2322,5.6048,9.644,8.6906,Pi15
ENSMUSG00000100053,0,0,0.0361,0,0.0351,0,0.059,0.0356,0.0272,Gm28154
ENSMUSG00000085125,0,0,0,0.0485,0,0,0.0298,0,0,Gm16070
ENSMUSG00000025776,1.9184,2.8348,2.2624,3.5243,1.8051,3.3874,3.2687,3.888,2.5128,Crispld1
ENSMUSG00000099895,0,0,0,0,0,0,0.2636,0,0,Gm28153
ENSMUSG00000100554,0,0,0,0,0,0,0,0,0,Gm7690
ENSMUSG00000099473,0,0,0,0,0,0,0,0,0,Gm18775
ENSMUSG00000099591,0,0,0,0,0,0,0,0,0,Gm17969
ENSMUSG00000109887,0,0,0,0,0,0,0,0,0,Gm28756
ENSMUSG00000102001,0,0,0,0,0,0,0,0,0,Gm28755
ENSMUSG00000101717,0,0,0,0,0,0,0,0,0,Gm45784
ENSMUSG00000025774,0,0,0,0,0,0,0,0,0,Crisp4
ENSMUSG00000070977,0,0,0,0,0,0,0,0,0,Defb44-ps
ENSMUSG00000073735,0,0,0,0,0,0,0,0,0,Defb18
ENSMUSG00000067773,0,0,0,0,0,0,0,0,0,Defb41
ENSMUSG00000101685,0,0,0,0,0,0,0,0,0,Gm17837
ENSMUSG00000101738,0,0,0,0,0,0,0,0,0,NA
ENSMUSG00000101306,0,0,0,0,0,0,0,0,0,Gm5252
ENSMUSG00000088800,0,0,0,0,0,0,0,0,0,Gm24075
ENSMUSG00000101644,0,0,0,0,0,0,0,0,0,Gm28343
ENSMUSG00000099433,0,0,0,0,0,0,0,0,0,Gm28344
ENSMUSG00000089787,0,0,0,0,0,0,0,0,0,Gm15825
ENSMUSG00000042596,0,0,0,0,0,0,0,0,0,Tfap2d
ENSMUSG00000100720,0,0.618,0.8392,0,0.8157,0.2954,0.3043,0.2753,0.2103,Gm10075
ENSMUSG00000025927,0,0,0,0,0.0234,0,0.0131,0,0.0181,Tfap2b
ENSMUSG00000100538,0,0,0,0,0,0,0,0,0,Gm28340
ENSMUSG00000101117,0,0,0,0,0,0,0,0,0,Gm28341
ENSMUSG00000100204,0,0,0.0679,0,0.066,0,0,0,0,Gm4849
ENSMUSG00000084668,0,0,0,0,0,0,0,0,0,Gm24633
ENSMUSG00000102597,0,0,0,0,0,0,0,0,0,Gm38382
ENSMUSG00000043760,0.1949,0.2118,0.309,0.245,0.6317,0.18,0.2376,0.2202,0.2883,Pkhd1
ENSMUSG00000104095,0,0,0,0,0,0,0,0,0,Gm37315
ENSMUSG00000089914,0,0,0,0,0,0,0,0,0,4930486I03Rik
ENSMUSG00000090142,0.2655,0.3045,0,0,0,0,0,0,0,Gm15795
ENSMUSG00000070175,0,0,0,0,0,0,0,0,0,Gm24162
ENSMUSG00000065559,0,0,0,0,0,0,0,0,0,Mir206
ENSMUSG00000099906,0,0,0,0,0,0.061,0,0,0,Gm28653
ENSMUSG00000065480,0,0,0,0,0,0,0,0,0,Mir133b
ENSMUSG00000025929,0,0,0.2604,0.3455,0,0,0.2832,0,0,Il17a
ENSMUSG00000041872,0,0,0,0.2668,0.0733,0.1592,0,0,0.0567,Il17f
ENSMUSG00000041859,15.1032,15.3507,15.4813,17.4674,19.8657,19.6946,17.9213,16.9949,16.6769,Mcm3
ENSMUSG00000099714,0,0,0,0,0,0,0,0,0,Gm20587
ENSMUSG00000102121,0.1762,0,0,0.1619,0,0,0.2986,0,0,Gm28065
ENSMUSG00000088858,0,0,0,0,0,0,0,0,0,Gm24723
ENSMUSG00000097934,0.5243,0,0.6806,0.3612,0.7938,0.2875,0.2961,0.5358,0.4093,6720483E21Rik
ENSMUSG00000025931,27.1516,31.6073,27.2521,29.0686,43.8501,26.284,21.2263,22.9099,24.7661,Paqr8
ENSMUSG00000077314,0,0,0,0,0,0,0,0,0,Gm24171
ENSMUSG00000100929,0,0.1963,0.1777,0.3143,0.1727,0.3753,0.0966,0,0,Gm28064
ENSMUSG00000041809,12.9652,13.3476,10.7023,15.0852,13.0868,13.7803,15.8462,15.153,15.7783,Efhc1
ENSMUSG00000041779,16.2873,17.1164,11.2151,17.5118,15.9506,15.6132,17.3639,20.2495,20.1639,Tram2
ENSMUSG00000099971,0,0,0,0,0,0,0,0,0,Gm28287
ENSMUSG00000100819,0.7713,0.8848,0.801,0.4723,1.0381,0,0.4356,0.7883,0.6021,Gm2693
ENSMUSG00000025933,9.5625,9.7231,13.5416,10.5805,12.2846,13.5846,12.7036,11.9939,11.1971,Tmem14a
ENSMUSG00000102633,0.1398,0,0,0.0642,0,0,0,0,0,Gm38224
ENSMUSG00000025934,125.346,118.8629,115.7812,111.1962,83.6088,123.2993,129.1382,114.3916,113.0968,Gsta3
ENSMUSG00000099343,0.4638,0.7981,0,0.213,0.7023,1.0173,0.5239,0,0.5431,Gm28836
ENSMUSG00000096375,0.4011,1.3804,0.4165,1.4738,1.2146,1.3196,1.8123,2.8695,1.5656,Gm7094
ENSMUSG00000025936,23.9837,27.5129,23.7899,32.7989,20.8433,29.2494,33.7718,25.2807,23.6757,Gm4956
ENSMUSG00000093963,0,0,0,0,0,0,0,0,0,Gm21909
ENSMUSG00000067750,0,0.1695,0,0,0.0746,0,0,0,0,Khdc1a
ENSMUSG00000086194,0,0,0,0,0,0,0,0,0,Gm16329
ENSMUSG00000094436,0,0,0,0,0,0,0,0,0,Gm16327
ENSMUSG00000041722,0.2263,0.0865,0,0.0693,0,0.0827,0.0426,0,0.0589,Khdc1c
ENSMUSG00000085507,0,0,0,0.3853,0.4234,0,0,0,0,Gm2709
ENSMUSG00000094926,0,0,0,0,0,0,0,0,0,Gm16533
ENSMUSG00000085079,0,0,0,0,0,0,0,0.0671,0.0513,Khdc1b
ENSMUSG00000085679,0,0,0.7778,0,0,0,0,0,0,Gm16328
ENSMUSG00000028033,4.1432,4.1396,3.1328,3.9987,3.6039,4.6272,3.7525,2.8684,2.8617,Kcnq5
ENSMUSG00000104138,0,0,0,0,0,0,0,0,0,Gm36949
ENSMUSG00000082935,6.9223,6.7423,6.7819,5.7588,5.1416,6.0156,6.1962,5.2059,4.9959,Gm7658
ENSMUSG00000103748,0,0,0,0,0,0,0,0,0.0731,Gm38243
ENSMUSG00000097109,0.6307,0.4019,0.2911,0.5149,0.5659,0.7684,0.5145,0.5729,0.4923,Gm26580
ENSMUSG00000099692,0,0,0,0,0,0,0,0,0,Gm5696
ENSMUSG00000100418,0,0,0,0,0,0,0,0,0,Gm28239
