ID,category,subcategory,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Source
mmu04710,Organismal Systems,Environmental adaptation,Circadian rhythm - Mus musculus (house mouse),"6/223, 9/384, 10/190",34/9775,"0.176470588235294, 0.264705882352941, 0.294117647058824","7.73542600896861, 6.73828125, 15.1315789473684","6.01096498938384, 6.77743524151946, 11.6210477359094","0.000103829108130027, 4.44370297517923e-06, 5.31382619317993e-10","0.00438573614857398, 0.000262178475535575, 6.35002230085002e-08","0.0039223441613681, 0.000223588423382702, 6.15285138157676e-08","353187/18628/11865/18143/13170/79362, 353187/79362/11865/13170/18628/217166/18143/18030/225998, 353187/18628/13170/11865/217166/18030/18143/12952/79362/18626","6, 9, 10","Ure_RTvsUre, Ure_RT_DMXAAvsUre, Ure_DMXAAvsUre"
mmu00531,Metabolism,Glycan biosynthesis and metabolism,Glycosaminoglycan degradation - Mus musculus (house mouse),"4/223, 6/513",21/9775,"0.19047619047619, 0.285714285714286","8.3493487080931, 5.44416597048176","5.1512018465435, 4.79789791146069","0.00116278673129433, 0.000559698962701222","0.0309301270524293, 0.00690295387331508","0.0276620843444757, 0.00510602562464273","15587/15212/15442/27029, 110006/27419/15442/15212/15211/50917","4, 6","Ure_RTvsUre, Ure_RT_DMXAAvsUre_DMXAA"
mmu04933,Human Diseases,Endocrine and metabolic disease,AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse),"8/223, 20/513",101/9775,"0.0792079207920792, 0.198019801980198","3.47200639346446, 3.77318433597746","3.81547556849909, 6.59293577982314","0.00211820381243442, 2.1757022804284e-07","0.0433417087775044, 8.05009843758508e-06","0.0387622721951563, 5.95455360959352e-06","21808/50490/18710/12830/18751/17390/18787/12828, 16193/20339/20296/12827/12826/18787/17390/12842/12825/21808/12843/16476/22329/12443/14268/20293/12576/18710/18754/21813","8, 20","Ure_RTvsUre, Ure_RT_DMXAAvsUre_DMXAA"
mmu04060,Environmental Information Processing,Signaling molecules and interaction,Cytokine-cytokine receptor interaction - Mus musculus (house mouse),"19/223, 40/513, 43/384",294/9775,"0.0646258503401361, 0.136054421768707, 0.146258503401361","2.83281474024587, 2.5924599859437, 3.72311685090703","4.87535902376126, 6.5246554405793, 9.58647024905111","4.14839579990937e-05, 2.34754294140105e-08, 4.44586715863713e-14","0.00275868320693973, 1.73718177663678e-06, 1.31153081179795e-11","0.00246720381784084, 1.28497087318794e-06, 1.11848657990976e-11","21808/245527/23886/17082/24099/16197/242316/21935/20307/107527/12778/238057/16154/14561/21933/16323/22163/12978/17329, 12774/20307/245527/17082/16193/15945/20296/12978/16323/16847/17329/21808/55985/12768/12161/242316/12984/20306/232983/20308/23886/20312/18413/16197/14561/20302/12983/20293/21832/12777/252837/16160/238057/20305/66102/12772/12982/21813/24099/21934, 17082/12774/16197/245527/14561/20307/16193/16323/242316/238057/57916/12984/326623/16184/23886/20308/20296/20305/20311/22163/18413/15945/21935/12804/17329/16181/227288/12777/16199/21942/330122/21950/240873/50905/20301/100039863/100040048/16160/20293/12771/12165/12163/20306","19, 40, 43","Ure_RTvsUre, Ure_RT_DMXAAvsUre_DMXAA, Ure_RT_DMXAAvsUre"
mmu04380,Organismal Systems,Development and regeneration,Osteoclast differentiation - Mus musculus (house mouse),"11/223, 26/513, 15/384",136/9775,"0.0808823529411765, 0.191176470588235, 0.110294117647059","3.54540358744395, 3.64278752436647, 2.8076171875","4.56721606787195, 7.30395642602802, 4.29245534092152","0.000271869675830426, 7.14311733129401e-09, 0.00028103955629449","0.00903966672136166, 7.04787576687676e-07, 0.00753696991880677","0.00808454562337846, 5.21322247336546e-07, 0.00642760324922326","21808/17060/18710/83433/14130/18724/18729/18730/100038909/14728/12978, 14728/83433/14130/12978/18724/18729/18730/100038909/11433/13038/21808/17060/16476/14131/53313/18733/19261/18722/17972/11937/13057/18725/18710/17969/21813/21934, 17060/83433/18724/18729/18730/100038909/14728/11433/14130/13038/18733/18722/18725/246256/100041146","11, 26, 15","Ure_RTvsUre, Ure_RT_DMXAAvsUre_DMXAA, Ure_RT_DMXAAvsUre"
mmu04610,Organismal Systems,Immune system,Complement and coagulation cascades - Mus musculus (house mouse),"13/223, 18/513, 18/384",94/9775,"0.138297872340426, 0.191489361702128","6.06216009922717, 3.64874953340799, 4.87450132978723","7.53496319018804, 6.07277473404329, 7.63247675442983","1.88214656820531e-07, 1.47416474041272e-06, 1.94061995925702e-08","5.00650987142614e-05, 4.84836403513515e-05, 1.9082762932694e-06","4.47752762541475e-05, 3.58627211702743e-05, 1.6273970886401e-06","12268/625018/12259/50908/12266/12260/12262/12267/18787/12263/12062/19124/14069, 12268/12267/12259/12262/12260/625018/19124/18787/17174/16414/14065/16411/12061/12258/14069/50908/16409/12274, 12268/12267/18787/625018/12259/19124/12260/12262/14069/16414/16411/14065/17174/12061/232345/12630/12269/385643","13, 18","Ure_RTvsUre, Ure_RT_DMXAAvsUre_DMXAA, Ure_RT_DMXAAvsUre"
mmu05133,Human Diseases,Infectious disease: bacterial,Pertussis - Mus musculus (house mouse),"9/223, 15/513, 12/384",77/9775,"0.116883116883117, 0.194805194805195, 0.155844155844156","5.12346397996622, 3.71193134351029, 3.96712662337662","5.55019088505421, 5.6224477063032, 5.28550164545106","5.97383740677648e-05, 8.86722360189708e-06, 4.14408520956994e-05","0.00317808150040509, 0.000201899860473964, 0.00152813142102892","0.00284228895564523, 0.000149342713295109, 0.00130320574353581","12268/625018/18126/12259/50908/12266/12260/12262/12263, 12268/12259/12262/12260/625018/16193/16414/80796/18126/16476/12258/16160/12362/50908/16409, 12268/18126/625018/12259/16193/12260/12262/16414/20311/70405/12269/16160","9, 15, 12","Ure_RTvsUre, Ure_RT_DMXAAvsUre_DMXAA, Ure_RT_DMXAAvsUre"
mmu05142,Human Diseases,Infectious disease: parasitic,Chagas disease - Mus musculus (house mouse),"10/223, 14/513, 11/384",103/9775,"0.0970873786407767, 0.135922330097087, 0.106796116504854","4.2557359919892, 2.58994303450103, 2.71857301779935","5.07517580703365, 3.81754789492047, 3.54547409553998","0.000115414109172999, 0.00093128893420601, 0.00231815978765629","0.00438573614857398, 0.0109963311578793, 0.0379920631865892","0.0039223441613681, 0.00813384381521655, 0.0324000110672429","21808/18126/18710/12259/12266/12260/12262/18787/12317/12062, 12259/12262/12260/16193/20296/18787/21808/18126/16476/20302/20293/16160/18710/21813, 18126/18787/12259/16193/12260/12262/20296/16160/385643/20293/217246","10, 14, 11","Ure_RTvsUre, Ure_RT_DMXAAvsUre_DMXAA, Ure_RT_DMXAAvsUre"
mmu05150,Human Diseases,Infectious disease: bacterial,Staphylococcus aureus infection - Mus musculus (house mouse),"12/223, 16/513, 15/384",128/9775,"0.09375, 0.125, 0.1171875","4.10944506726457, 2.38182261208577, 2.98309326171875","5.41044736410103, 3.70342541243455, 4.5666512225301","3.41062271700155e-05, 0.00104725984457871, 0.000142961061827548","0.00275868320693973, 0.0114810708887148, 0.00421735132391267","0.00246720381784084, 0.00849239951939075, 0.00359659934492463","12268/625018/14130/12259/50908/12266/12260/12262/94179/12267/12263/15002, 12268/12267/12259/12262/12260/625018/16663/20344/14130/19204/17174/16414/14131/94179/50908/16409, 12268/12267/625018/12259/12260/19204/12262/16414/14130/20344/17174/381091/246256/12630/13510","12, 16, 15","Ure_RTvsUre, Ure_RT_DMXAAvsUre_DMXAA, Ure_RT_DMXAAvsUre"
mmu04662,Organismal Systems,Immune system,B cell receptor signaling pathway - Mus musculus (house mouse),"11/223, 12/513, 15/384, 7/190",84/9775,"0.130952380952381, 0.142857142857143, 0.178571428571429, 0.0833333333333333","5.74017723681401, 2.72208298524088, 4.54566592261905, 4.28728070175439","6.66639999692202, 3.73036977479396, 6.59931743414523, 4.25999457113075","2.92809549252925e-06, 0.00136854920199611, 7.74674501785637e-07, 0.00120312393101616","0.00038943670050639, 0.013968640130719, 5.71322445066907e-05, 0.0359433274391077","0.0003482892533219, 0.0103324222873028, 4.87229489280966e-05, 0.0348272716873098","17060/18710/12518/18751/14130/18724/18729/18730/100038909/14728/18037, 14728/14130/18724/18729/18730/100038909/17060/16476/18733/18722/18725/18710, 17060/18724/18729/18730/100038909/18751/14728/14130/12518/18733/18722/242248/18725/12478/100041146, 12518/242248/18751/15985/12483/12478/12517","11, 12, 15, 7","Ure_RTvsUre, Ure_RT_DMXAAvsUre_DMXAA, Ure_RT_DMXAAvsUre, Ure_DMXAAvsUre"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,B cell receptor signaling pathway - Mus musculus (house mouse),Osteoclast differentiation - Mus musculus (house mouse),Cytokine-cytokine receptor interaction - Mus musculus (house mouse),,,,,,,,,
,,Ure_RTvsUre,11,11,19,,,,,,,,,
,,Ure_RT_DMXAAvsUre_DMXAA,12,26,40,,,,,,,,,
,, Ure_RT_DMXAAvsUre,15,15,43,,,,,,,,,
,,Ure_DMXAAvsUre,7,,,,,,,,,,,
