"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway - Mus musculus (house mouse)","24/513","193/9775",0.124352331606218,2.36948156228222,4.52219434338397,7.04851363994721e-05,0.00122727061024963,0.000907796183968433,"12774/20307/15945/20296/17329/216148/55985/12768/320207/20306/20308/20312/11514/20302/20293/12777/20305/104110/66102/18710/104709/12772/17969/19395",24
"Organismal Systems","Endocrine system","mmu04614","Renin-angiotensin system - Mus musculus (house mouse)","9/513","37/9775",0.243243243243243,4.63489805595069,5.2131554310745,9.35229396529285e-05,0.00153793278540371,0.00113758897355609,"12873/17228/17227/13035/72461/70008/16790/70495/19025",9
"Human Diseases","Infectious disease: parasitic","mmu05144","Malaria - Mus musculus (house mouse)","11/513","57/9775",0.192982456140351,3.6771998221675,4.77059149441239,0.000152616848897422,0.00237760985650721,0.00175868723383179,"16193/20339/20344/20296/12491/16414/21808/13349/22329/110257/20293",11
"Cellular Processes","Transport and catabolism","mmu04145","Phagosome - Mus musculus (house mouse)","22/513","183/9775",0.120218579234973,2.29071464331746,4.14804690471694,0.000229341783661593,0.00339425839819158,0.00251068900008481,"14990/140494/14130/110557/15018/110558/12491/16414/226421/17534/20288/13039/14131/13040/27060/242341/73710/17972/17167/13057/16409/17969",22
"Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection - Mus musculus (house mouse)","35/513","359/9775",0.0974930362116992,1.85768894535937,3.89660401331547,0.000283028207909966,0.00398934997815952,0.00295087053861017,"21923/14990/140494/192897/12827/12826/22418/12842/110557/15018/110558/12444/12843/235542/14366/12835/23928/27060/12575/14368/19699/20750/22419/242341/12443/15213/14268/15891/17246/226519/16775/12576/18710/14369/55927",35
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis - Mus musculus (house mouse)","20/513","163/9775",0.122699386503067,2.33798538609646,4.05397207359793,0.000333261288253835,0.00448387915105159,0.00331666736635395,"12259/12262/12260/12491/78070/228432/226421/16889/233571/17289/53313/20312/17304/11846/19261/11937/12642/13609/12362/11502",20
"Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer - Mus musculus (house mouse)","23/513","204/9775",0.112745098039216,2.14831059129305,3.90066144491982,0.000427078209696894,0.0054963108726209,0.00406555000535259,"17390/22418/12842/16000/15530/21808/12843/13039/14366/12575/14368/15442/22419/12443/14268/14182/17246/21859/16160/13179/16001/18710/14369",23
"Metabolism","Glycan biosynthesis and metabolism","mmu00531","Glycosaminoglycan degradation - Mus musculus (house mouse)","6/513","21/9775",0.285714285714286,5.44416597048176,4.79789791146069,0.000559698962701222,0.00690295387331508,0.00510602562464273,"110006/27419/15442/15212/15211/50917",6
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease - Mus musculus (house mouse)","14/513","103/9775",0.135922330097087,2.58994303450103,3.81754789492047,0.00093128893420601,0.0109963311578793,0.00813384381521655,"12259/12262/12260/16193/20296/18787/21808/18126/16476/20302/20293/16160/18710/21813",14
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis - Mus musculus (house mouse)","11/513","70/9775",0.157142857142857,2.99429128376497,3.94078102041562,0.000965893953056965,0.0109963311578793,0.00813384381521655,"16414/21808/18126/16476/14131/17972/16160/13057/17357/16409/17969",11
"Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection - Mus musculus (house mouse)","16/513","128/9775",0.125,2.38182261208577,3.70342541243455,0.00104725984457871,0.0114810708887148,0.00849239951939075,"12268/12267/12259/12262/12260/625018/16663/20344/14130/19204/17174/16414/14131/94179/50908/16409",16
"Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecules - Mus musculus (house mouse)","20/513","179/9775",0.111731843575419,2.1290034521437,3.58772483817489,0.00111222748961307,0.0117578334616239,0.00869711721201196,"14990/12490/319504/20339/20344/110557/15018/110558/16414/22329/13003/20612/100043314/18190/12524/67374/18189/16409/20970/12519",20
"Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway - Mus musculus (house mouse)","12/513","84/9775",0.142857142857143,2.72208298524088,3.73036977479396,0.00136854920199611,0.013968640130719,0.0103324222873028,"14728/14130/18724/18729/18730/100038909/17060/16476/18733/18722/18725/18710",12
"Environmental Information Processing","Signal transduction","mmu04024","cAMP signaling pathway - Mus musculus (house mouse)","23/513","224/9775",0.102678571428571,1.95649714564188,3.40820513589989,0.00155334924582798,0.015069186433409,0.0111464821413551,"15245/14652/109648/80796/18160/16476/20682/53313/12669/11514/11555/19218/19049/53623/11937/14800/23984/54611/104110/12638/18710/106952/14799",23
"Environmental Information Processing","Signal transduction","mmu04068","FoxO signaling pathway - Mus musculus (house mouse)","16/513","133/9775",0.120300751879699,2.2922804086239,3.5313558156541,0.00157819182241783,0.015069186433409,0.0111464821413551,"16193/16000/21808/12444/16598/58231/12575/16197/12443/54601/17246/12576/13609/16001/18710/21813",16
"Metabolism","Amino acid metabolism","mmu00330","Arginine and proline metabolism - Mus musculus (house mouse)","9/513","54/9775",0.166666666666667,3.17576348278103,3.773076001741,0.0018064470232812,0.0167096349653511,0.0123599006856082,"67092/76507/18126/12709/19125/67432/11846/12715/320452",9
"Environmental Information Processing","Signal transduction","mmu04371","Apelin signaling pathway - Mus musculus (house mouse)","16/513","139/9775",0.115107913669065,2.19333305285596,3.33474888401477,0.00249753249293084,0.0224021096335615,0.0165705505113115,"18787/17897/30878/80796/18126/16598/14219/320207/11514/20750/12443/22227/104110/20190/18754/104709",16
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis - Mus musculus (house mouse)","21/513","217/9775",0.0967741935483871,1.84399169967931,2.95887753788473,0.00492230271721513,0.0422401390840619,0.0312444841020088,"17392/16193/20339/20344/20296/12491/80796/16476/13076/22329/20302/238055/17972/20293/54123/16160/13057/12362/18710/17969/15511",21
"Cellular Processes","Cell growth and death","mmu04216","Ferroptosis - Mus musculus (house mouse)","7/513","41/9775",0.170731707317073,3.25322112870252,3.40245612771463,0.00499461104034516,0.0422401390840619,0.0312444841020088,"12870/53945/26570/68428/15368/14325/14630",7
"Cellular Processes","Cell growth and death","mmu04115","p53 signaling pathway - Mus musculus (house mouse)","10/513","75/9775",0.133333333333333,2.54061078622482,3.15195610156136,0.00556565439262735,0.0457620472282693,0.0338495939668564,"18787/16000/22401/12578/12444/68428/12450/12575/12443/17246",10
"Organismal Systems","Immune system","mmu04611","Platelet activation - Mus musculus (house mouse)","14/513","125/9775",0.112,2.13411306042885,3.00324085432393,0.00578876498225288,0.0463101198580231,0.0342549961965462,"12842/12825/21391/19222/14065/12843/14131/320207/11514/14127/104110/18710/104709/19395",14
