Gene1	Gene2	kMEred	kMEturquoise
Ptprt		-0.287458755	0.660714543
Wfdc12		0.265303999	0.744889136
Slpi		0.065579477	0.337775193
Rbpjl		0.292015468	0.274969162
Ctsa		-0.115982867	0.927623398
B4galt5		-0.52928315	0.8876784
Pmepa1		-0.655743694	0.782732117
Ctsz		-0.169158526	0.924494436
Rbm3		0.410100515	0.443245898
Cybb		0.176997924	0.788032843
Atp6ap2		-0.389485826	0.955790216
Gpr34		0.171432646	0.794093479
Timp1		-0.360928652	0.875234699
Cfp		-0.394479073	0.948654422
Tmem255a		-0.210268932	0.897438206
Apln		-0.326462411	0.781862158
Xpnpep2		0.064176592	0.538581685
Hs6st2		-0.196880715	0.893309741
Bgn		-0.31929864	0.937394906
F8		0.044317367	0.919700923
Eda2r		-0.246237971	0.896718422
Awat1		-0.134226605	0.864979149
Xist		0.441886928	0.344107967
Tlr13		-0.057572778	0.934082435
P2ry10		0.485147025	0.404712859
Itm2a		-0.348526352	0.918433926
Klhl4		-0.313260129	0.94103974
Gla		-0.208450564	0.951321226
Bex1		-0.036935897	0.714068073
Tceal9		-0.597021881	0.304024287
Rnf128		-0.160134639	0.93292367
Frmpd3		-0.24541476	0.889386709
Acsl4		0.019719808	0.492538166
Kctd12b		-0.079231961	0.961407779
Phex		-0.180921373	0.955326695
Tlr8		-0.269944014	0.775777507
Fabp5		-0.216232034	0.648435282
Fabp4		-0.370871618	0.387321353
Car13		0.024385542	0.852185859
Bhlhe22		-0.008532532	0.910598493
Cyp7b1		0.041468525	0.92615376
Cp		-0.353146065	0.904813388
Cpa3		-0.270921401	0.97375779
Nceh1		-0.075767686	0.823279918
Zmat3		-0.493934391	0.885485747
Slc7a11		-0.236806422	0.955274735
Noct		-0.735791215	0.448791641
Trpc4		-0.293014473	0.933029
Dclk1		-0.127147925	0.918649648
Gpr171		0.104344232	0.639940032
P2ry14		-0.436758577	0.885427701
Igsf10		0.060405704	0.797512354
Veph1		-0.358340731	0.845300145
Fnip2		-0.335946765	0.734172264
Gria2		-0.180204999	0.922762619
Pdgfc		-0.204093785	0.963607955
Fgg		-0.403162532	0.621155821
Fga		-0.47559944	0.733593005
Tlr2		0.072175756	0.636094339
Tmem154		-0.023426358	0.879236928
Nes		-0.597489655	0.80164632
Fdps		-0.657924059	0.323953101
Adam15		-0.722929241	0.661882685
Kcnn3		-0.360895218	0.757420847
S100a11		-0.436699364	0.883602514
Ctsk		-0.220379874	0.971937422
Ctss		-0.281283841	0.938969993
Hmgcs2		-0.011104099	0.230826983
Olfml3		-0.168921291	0.906896678
Rhoc		-0.690776967	0.666537109
Cttnbp2nl		-0.704509032	0.419925809
Adora3		-0.400199737	0.869406677
Chil3		-0.163132339	0.509521788
Cd53		0.12775496	0.894217466
Psrc1		-0.269693221	0.932605629
Fndc7		-0.364889828	0.933940669
Vcam1		-0.585374248	0.73660692
Snx7		-0.313112614	0.595472329
Alpk1		0.439618707	0.621506428
Cfi		-0.240635159	0.846354736
Dkk2		-0.270805413	0.910212159
Emcn		-0.105503761	0.922124051
Unc5c		0.398724188	0.516679238
Clca1		-0.285863705	0.425421527
Col24a1		-0.108873772	0.967890738
Ifi44		0.050064314	0.85254916
Ifi44l		-0.061038847	0.912067753
Ptger3		-0.223661993	0.884040567
4930430E12Rik		-0.221587822	0.923040418
Sdcbp		-0.384479096	0.94511595
Gdf6		-0.135770948	0.938484506
Trp53inp1		-0.003166281	0.931792788
Atp6v0d2		-0.263345049	0.910873413
Rragd		-0.311610061	0.961351074
Cd72		0.729923722	0.444926118
Stra6l		-0.097420294	0.890849751
Tbc1d2		-0.028390512	0.8282437
Col15a1		-0.291153631	0.951462705
Nr4a3		-0.529273024	0.350686173
Abca1		0.111675317	0.887830312
Svep1		0.108307754	0.888251771
Orm1		-0.291489396	0.92195007
Tmem268		0.0146486	0.550516752
Tnc		-0.301951139	0.962234183
Astn2		-0.056161011	0.893982214
Brinp1		-0.289286337	0.949848482
Ptprd		0.175774859	0.793963588
Frem1		-0.010015613	0.914317813
Plin2		-0.388970829	0.901297203
Hacd4		0.033824194	0.943085905
Cdkn2a		-0.293584262	0.93623954
Podn		-0.118134293	0.846687029
Pik3r3		-0.258520228	0.914690789
Prdx1		-0.404983365	0.856994167
Elovl1		-0.26390554	0.561997641
Mfsd2a		-0.545767783	0.38361603
Marcksl1		-0.336026213	0.927898309
Fam167b		-0.232587491	0.931296458
Sdc3		0.001455455	0.934409409
Laptm5		-0.054825175	0.905994121
Sesn2		-0.273339825	0.879504248
Ptafr		-0.086375021	0.922486728
Cd52		0.210501847	0.80669731
Fuca1		-0.305268178	0.85976534
C1qb		-0.330029274	0.968618598
C1qc		-0.343280642	0.964887905
C1qa		-0.321089587	0.963663264
Hspg2		-0.153551565	0.866205977
Alpl		-0.173720127	0.750111238
Pla2g2d		-0.127639246	0.961938368
Pla2g5		-0.12554424	0.889557294
Fblim1		-0.256768545	0.9361015
Pdpn		-0.210921318	0.86883249
Tnfrsf1b		-0.261520322	0.899673614
Angptl7		-0.274787776	0.706893976
Rbp7		-0.560789236	0.757753984
Spsb1		-0.710534361	0.710702581
Tnfrsf9		-0.066292473	0.785174947
Per3		0.612529866	0.391251
Vwa1		-0.32661632	0.92384608
Cyp51		-0.581364156	0.80752521
Steap4		-0.171379276	0.835335389
Abcb1a		0.120795935	0.789514345
Abcb1b		-0.206097679	0.856394549
Napepld		-0.194439178	0.912282648
Nos3		-0.741835171	0.561537397
Il6		-0.113385016	0.900122054
Fosl2		-0.304943339	0.560356356
Slc5a1		0.257919369	0.794809544
Sh3bp2		0.119846855	0.83750105
Lrpap1		-0.334894527	0.918755151
Cpz		-0.245034809	0.941795357
Sorcs2		0.021874215	0.693031091
Man2b2		0.056594339	0.911336823
Prom1		-0.257679583	0.893099196
D5Ertd615e		-0.330654088	0.861602952
Slit2		0.025835932	0.903474807
Sod3		-0.37202267	0.887386163
Lgi2		-0.241261084	0.923953588
Sel1l3		-0.074632084	0.620312154
Pcdh7		0.057819237	0.636560493
Tbc1d1		-0.127902151	0.971510789
Igfbp7		-0.433909115	0.948657599
Jchain		-0.21286804	0.869683914
Pf4		-0.115170094	0.576180114
Cxcl9		-0.214448297	0.848801679
Cxcl10		-0.266197501	0.895612478
Cxcl13		-0.119837359	0.749603253
Hpse		-0.014990833	0.933634622
Dmp1		-0.12129432	0.565480737
Ibsp		-0.162329206	0.611092119
Spp1		-0.157631314	0.925173021
Lrrc8c		-0.237822529	0.692532878
Trpv4		-0.512403103	0.788497934
Oasl2		0.103523579	0.66315786
Rasal1		0.183452082	0.77777768
Oas2		-0.116752724	0.483035601
Oas3		0.33497944	0.588335762
Oas1a		-0.300628949	0.920729745
Rph3a		-0.093208501	0.964165118
Hvcn1		0.097058947	0.87791638
Rilpl2		-0.282458796	0.910899215
Tmem132c		-0.435394597	0.68331752
Adgrd1		-0.125615565	0.882355164
Gusb		-0.17313848	0.959023089
Ncf1		0.095527125	0.839106715
Lat2		0.114867139	0.909751142
Serpine1		-0.22479077	0.930403925
Nxpe5		-0.116272977	0.975891587
Fam20c		-0.136913123	0.93123197
Fscn1		-0.280034786	0.980388404
Bhlha15		-0.209681509	0.589503433
Arpc1b		-0.345904401	0.710665454
Alox5ap		-0.159654594	0.710775196
Col1a2		-0.215558707	0.932558574
Col28a1		-0.195652282	0.876266524
Ppp1r3a		0.220403688	0.659212974
Ptprz1		-0.364893073	0.848306314
Mest		-0.41036832	0.872264626
Exoc4		-0.201907582	0.937758158
Akr1b8		-0.06480062	0.938075468
Tbxas1		-0.035948156	0.916662541
Clec5a		-0.019061723	0.913936454
Tmem176b		-0.314628936	0.966322769
Tmem176a		-0.256478061	0.976871587
Gm7932		-0.302297354	0.958286912
Aoc1		-0.140920865	0.969586431
Gpnmb		-0.178174809	0.973895152
Npy		-0.151747309	0.949669651
Snx10		-0.167976641	0.931849128
Creb5		-0.415416472	0.387772847
Wipf3		-0.201052938	0.861476812
Scrn1		-0.042672128	0.790179262
Abcg2		0.06923669	0.808691991
Hpgds		-0.061612346	0.960772913
Ndnf		-0.033301579	0.928300597
Igkv2-137		-0.314732554	0.729763571
Igkv1-135		-0.200132445	0.736168743
Igkv1-133		-0.246630108	0.668984274
Igkv14-130		0.029403336	0.39901534
Igkv9-129		-0.280575461	0.357828688
Igkv17-127		-0.167956767	0.714495821
Igkv14-126		0.184471295	0.287407414
Igkv9-124		-0.219650718	0.823364106
Igkv9-123		0.092729727	0.567349018
Igkv1-122		-0.274716819	0.486626043
Igkv17-121		-0.09736533	0.681244114
Igkv9-120		-0.107669383	0.755919765
Igkv1-117		-0.153801584	0.813573274
Igkv2-112		0.094010282	0.317791067
Igkv14-111		-0.220924663	0.866182771
Igkv1-110		-0.108460386	0.756498786
Igkv2-109		-0.310535612	0.532363039
Igkv16-104		-0.341125392	0.755302666
Igkv15-103		-0.361557401	0.810415194
Igkv14-100		-0.444387729	0.701460092
Igkv1-99		-0.168756697	0.619234344
Igkv12-98		-0.300561814	0.872719951
Igkv10-96		-0.118142622	0.820595207
Igkv10-94		0.116824623	0.744535179
Igkv19-93		-0.145701063	0.798590835
Igkv4-91		-0.288722954	0.62187692
Igkv12-89		-0.204563237	0.386559932
Igkv1-88		-0.327552382	0.448867861
Igkv4-86		0.0609843	0.477567414
Igkv13-85		-0.141741461	0.882271993
Igkv13-84		-0.161980324	0.664702871
Igkv4-80		-0.077352785	0.546234201
Igkv4-79		-0.148269499	0.308947643
Igkv4-74		0.107448608	0.69674268
Igkv4-72		-0.078212149	0.710478722
Igkv4-70		-0.411366691	0.743270235
Igkv4-69		-0.090959797	0.317985702
Igkv4-68		-0.275120399	0.782374269
Igkv4-63		0.17025596	0.453020464
Igkv4-62		-0.076708152	0.395429037
Igkv4-61		-0.148557172	0.679969658
Igkv4-59		0.02788074	0.809560796
Igkv4-58		0.213805983	0.333331455
Igkv4-57-1		-0.197525118	0.783509691
Igkv4-57		-0.211714683	0.615446726
Igkv4-55		-0.251096537	0.786184381
Igkv4-53		-0.334566669	0.774906385
Igkv4-51		-0.005957061	0.625094548
Igkv4-50		-0.009739375	0.527454203
Igkv5-48		-0.202299529	0.888508112
Igkv12-46		-0.12393142	0.572151775
Igkv5-45		-0.253323331	0.529892755
Igkv12-44		-0.10086729	0.801831908
Igkv5-43		-0.213652295	0.835084956
Igkv12-41		-0.267960324	0.607525491
Igkv5-39		-0.263637176	0.653827486
Igkv12-38		0.259486686	0.504970583
Igkv5-37		-0.280057782	0.31775464
Igkv8-34		0.025486809	0.246736689
Igkv6-32		-0.081190149	0.523901772
Igkv8-30		-0.250016537	0.530807426
Igkv8-28		-0.066954622	0.705890832
Igkv8-27		-0.056271589	0.748835976
Igkv6-25		-0.113838853	0.745371293
Igkv8-24		0.086714552	0.431976646
Igkv6-23		-0.297175805	0.88851453
Igkv8-21		0.315298694	0.662498687
Igkv6-20		0.005593001	0.765879003
Igkv8-19		-0.078139323	0.666920814
Igkv6-17		-0.070245779	0.834257998
Igkv8-16		0.147913283	0.536637066
Igkv6-15		-0.232300925	0.787497731
Igkv6-14		-0.057574021	0.644233041
Igkv6-13		-0.153767525	0.719052223
Igkv3-12		0.029194301	0.597863365
Igkv3-10		2.04E-05	0.789834323
Igkv3-9		-0.015028575	0.307217655
Igkv3-7		0.084115005	0.54089607
Igkv3-5		-0.055039273	0.707332415
Igkv3-4		-0.238062426	0.83294209
Igkv3-2		-0.221421536	0.591731438
Igkv3-1		0.125593671	0.671425128
Igkj1		0.117903082	0.740191183
Igkj2		-0.047906792	0.830882397
Igkj5		0.017224435	0.778395574
Igkc		-0.170768491	0.880549099
Capg		-0.09052543	0.913788465
Tmsb10		-0.566699228	0.781723897
Dnah6		0.020421661	0.448032367
Reg3g		-0.514702931	0.66300273
Dysf		-0.296339203	0.937389315
Rab11fip5		0.053439452	0.938640879
Add2		-0.151354231	0.895710245
Bmp10		-0.270629614	0.224093423
Arhgap25		0.007388657	0.894232746
Mgll		-0.357717391	0.83346561
Podxl2		-0.233322457	0.814980276
Fbln2		-0.1454332	0.870164338
Slc6a6		0.216354819	0.838566086
Adamts9		-0.636280673	0.515026752
Gxylt2		-0.371106309	0.758763805
Pdzrn3		-0.38336309	0.874338518
Chl1		-0.031369461	0.82308561
Lrrn1		-0.02931366	0.895930626
Bhlhe40		-0.077857405	0.901394515
Edem1		-0.576990711	0.734105386
Ssu2		-0.090872394	0.853367743
Syn2		-0.037787737	0.932808039
Plxnd1		-0.119845514	0.841048982
A2m		0.156762139	0.351580892
Mfap5		-0.258659107	0.921892327
Apobec1		0.087470852	0.905722374
Slc2a3		0.217767833	0.769327777
C3ar1		0.005925683	0.931689452
Clec4a2		-0.168394915	0.931140017
Clec4n		-0.313290877	0.935968482
Clec4d		-0.241398161	0.9113036
C1rl		-0.151495304	0.891461698
C1ra		-0.16692118	0.856440723
C1s1		-0.17780142	0.811887163
Fgf23		-0.096825038	0.625647423
Ccnd2		-0.507466073	0.750903814
A2ml1		0.064996995	0.446770863
Clec12a		0.150106506	0.915716007
Clec7a		-0.037875403	0.880388427
Olr1		-0.083598228	0.881482225
Klra3		-0.167316663	0.890624658
Apold1		-0.042091331	0.864511009
Emp1		-0.748053245	0.354024775
Plbd1		-0.25691373	0.963115828
Art4		-0.046929696	0.962295885
Mgp		-0.328638702	0.956446894
Slco1a4		-0.297067449	0.917099532
Slco1a5		-0.340608083	0.812882517
Bhlhe41		0.195269623	0.855956286
Pirb		-0.075363674	0.938430411
Pira2		-0.163909871	0.939158581
Lair1		0.225541347	0.835584815
Lilra5		-0.317051723	0.718120862
Gm15931		-0.127493882	0.856676028
Ptgir		-0.073034727	0.961409863
Exoc3l2		-0.30155405	0.937501424
Apoe		-0.356202865	0.968811169
Ceacam16		-0.047634072	0.836047218
Atp1a3		0.154808878	0.685364609
Cxcl17		-0.40534245	0.834932032
Cyp2a5		0.211749198	0.502443723
Pld3		-0.245759694	0.946706935
Tyrobp		-0.124825439	0.817861327
Cd22		0.682244326	0.424663073
Fxyd5		-0.283590595	0.894724785
Scn1b		-0.498383533	0.879591331
Plekhf1		-0.437347445	0.770888882
Iglon5		0.134790683	0.846881668
Cd33		-0.065703672	0.966617463
Napsa		-0.224154706	0.65000486
Cpt1c		-0.166327977	0.934686395
Ftl1		-0.319930551	0.941624336
Bax		-0.502923069	0.817171529
Dbp		0.503897707	0.511390254
Tph1		-0.233911276	0.979235139
Saa3		-0.192775881	0.972079824
Tmem86a		0.045211014	0.863700885
Mrgprb13		-0.260428122	0.898961723
Mrgprb1		-0.189081363	0.960385403
Mrgprx2		-0.14317371	0.96914502
Mrgprb2		-0.23178505	0.954574732
Aen		-0.554058025	0.841124615
Mfge8		-0.233544383	0.857799159
Anpep		-0.166829459	0.914923006
Adamtsl3		0.082263765	0.902942196
Arnt2		-0.151113815	0.973526916
Nox4		0.345220472	0.610428069
Prcp		-0.048938285	0.971626689
Tenm4		-0.042266695	0.928824858
Slco2b1		-0.042080552	0.890151853
P4ha3		-0.311038507	0.91054717
P2ry6		-0.098102007	0.963530306
P2ry2		-0.200913075	0.93388489
Cavin3		-0.580986354	0.741932475
Wee1		0.355024956	0.629216957
Dkk3		-0.435914424	0.666319558
Pde3b		-0.302374839	0.567276831
Xylt1		0.077404188	0.915211169
Tmc5		-0.242996706	0.843011916
Gp2		-0.265567579	0.870125895
Prkcb		0.664473964	0.550346051
Sez6l2		-0.240979705	0.966633756
Itgax		-0.106649442	0.93195679
Cpxm2		-0.239739615	0.956347639
Adam12		-0.209153222	0.928625793
Ebf3		-0.135323013	0.941722233
Adam8		-0.162819324	0.939558746
Irf7		0.073809891	0.821361447
Tspan4		0.470769698	0.597378197
Muc5b		-0.293961019	0.599228095
Ctsd		-0.221040057	0.94811248
Tnfrsf26		0.074688295	0.85604108
Tnfrsf23		-0.288330077	0.850105263
Mrgpre		0.126235307	0.882411529
Dhcr7		-0.291752678	0.87564185
Ccnd1		-0.434793091	0.819194575
Tpcn2		-0.52129375	0.718432381
Mthfd1l		0.435843393	0.675093686
Ulbp1		-0.223762708	0.93878239
Lrp11		-0.330123923	0.964578272
Aig1		-0.283779319	0.950587466
Sgk1		-0.182291416	0.846301151
Enpp1		-0.085027076	0.952818261
Arhgap18		0.031877804	0.888709476
Lama2		0.071788525	0.678518947
Ncoa7		-0.019811872	0.894076837
Lama4		-0.317803352	0.876104586
Cdk19		0.223798254	0.509476522
Lilrb4a		-0.110626807	0.968642709
Fabp7		-0.084011241	0.898270588
Ddit4		-0.479364859	0.589970473
Spock2		-0.278182904	0.836646796
Psap		-0.217124949	0.965798247
Slc29a3		0.121273853	0.903627891
Unc5b		-0.424934922	0.864214278
Sgpl1		-0.105281009	0.959209019
Egr2		0.133644759	0.807006511
Zfp365		-0.106744386	0.928228038
Arid5b		0.415832667	0.328043674
Tmem26		-0.156812628	0.903770579
Ggt5		-0.169021126	0.679460998
Susd2		-0.062517993	0.887164959
Derl3		-0.283731955	0.738633441
Col18a1		-0.166333917	0.836357848
Adarb1		-0.329615097	0.724003374
Itgb2		-0.118406286	0.96102646
Cstb		-0.254685999	0.842156041
Matk		0.138211499	0.893990231
Mfsd12		-0.134397647	0.92850265
Slc41a2		-0.262274469	0.894412508
Timp3		-0.354459756	0.88431759
Igf1		-0.291520396	0.978019086
Gnptab		-0.051583977	0.662609212
Gas2l3		0.002312731	0.950553573
Hal		-0.100569338	0.946890653
Ptprq		-0.036808669	0.646326921
Nav3		-0.01959197	0.86965577
Glipr1		-0.245883346	0.946427459
Lyz2		-0.238543375	0.924984146
Lyz1		-0.216163223	0.95503508
Gns		-0.098807028	0.915869842
Slc16a7		0.148050997	0.775725017
Mmp19		-0.247653375	0.961622262
Gdf11		0.197191437	0.906222622
Cd63		-0.358441311	0.838231464
Itga7		-0.459363144	0.729638606
Tnfsf13b		-0.153039115	0.73985238
Col4a1		-0.440285515	0.919661104
Col4a2		-0.365375997	0.934427791
F7		-0.171209337	0.733247802
Tmem255b		-0.101270368	0.761374317
Gas6		-0.235471246	0.935299221
Sfrp1		-0.036046016	0.879883077
Tcim		-0.725539254	0.564356161
Msr1		-0.174343879	0.942434115
Slc7a2		0.163766517	0.552663056
Fgl1		-0.22764823	0.820599667
Fat1		0.095544236	0.72400122
Sorbs2		-0.335843259	0.928972285
Ankrd37		-0.1125625	0.771332751
Enpp6		-0.294641188	0.962331042
Gpm6a		-0.14482418	0.379622676
Ddx60		0.510288837	0.568114537
Msmo1		-0.570735989	0.766759851
Npy1r		0.23714225	0.772625189
Lpl		-0.041851134	0.857154066
Slc18a1		-0.109108765	0.960586978
Atp6v1b2		-0.265616102	0.904285925
Crlf1		-0.313959127	0.71951814
Gdf15		-0.460220798	0.851246238
Slc5a5		-0.10720512	0.830965276
F2rl3		-0.250430488	0.948254836
Hmox1		-0.464889705	0.886197114
Hhip		-0.033944873	0.942726941
Tbc1d9		-0.343603446	0.950125263
Cacna1a		-0.002041033	0.931627477
Junb		0.230137911	0.58240657
Man2b1		-0.111195186	0.93377946
Zfp423		-0.415059157	0.899892362
Sall1		-0.480509931	0.869498764
Mmp2		-0.188866313	0.942497443
Lpcat2		-0.230187626	0.890447241
Mt2		-0.307253346	0.893952856
Mt1		-0.27531354	0.840524455
Adgrg1		-0.163375863	0.274202027
Car7		-0.083833188	0.928670269
Ces2e		-0.293950872	0.939410152
Pla2g15		-0.514821287	0.76505886
Has3		0.019237079	0.864235127
Nqo1		0.019274364	0.59839169
Cotl1		0.200668491	0.464209993
Gm42047		0.147795123	0.464586893
Cyba		-0.261764436	0.893507958
Mvd		-0.604501632	0.727484483
Galns		0.001019234	0.941482181
Dnase1l3		0.062041656	0.658996747
Lrrc3b		-0.109484792	0.885990137
Nr1d2		0.454086755	0.567524643
Nid2		-0.373682294	0.910199668
Dnah12		0.244480737	0.476052192
Wnt5a		0.01639402	0.951466788
Itih4		-0.053236501	0.34019813
Ncoa4		-0.036797496	0.893743906
Mmrn2		0.024832644	0.900857158
Cdhr1		-0.244155344	0.930492935
Lgals3		-0.215145047	0.909930359
Slc39a2		-0.121518412	0.826546066
Mmp14		-0.400041551	0.774678037
Slc7a8		-0.308162539	0.844373229
Rec8		0.37663165	0.589696039
Tgm1		0.041431327	0.618220684
Cma1		-0.266350575	0.97004401
Mcpt4		-0.270751636	0.971030923
Ctsg		-0.423241362	0.907164242
C1qtnf9		-0.243330662	0.788110247
Arl11		-0.16909343	0.907507959
Ctsb		-0.211779636	0.970209018
Ptk2b		0.510330975	0.5873082
Loxl2		-0.564307436	0.77867554
Tnfrsf10b		-0.430328662	0.625385504
Slc39a14		-0.581497375	0.761635672
Esd		-0.152350003	0.812167248
Lcp1		0.161566859	0.67639523
Rgcc		-0.347726034	0.221312315
