gene1	module1	X88	X89	X90	X92	X93	X94	X97	X99	X101	X103	X104	X105	X108	X109	X110	Gene.name	EntrezID	kMEblue	kMEbrown	kMEgreen	kMEgrey	kMEred	kMEturquoise	kMEyellow	degree	betweenness	closeness
ENSMUSG00000026042	turquoise	1719	1461	1270	1675	1436	1376	2715	3211	3251	2831	2622	4259	3493	3700	4348	Col5a2	12832	-0.920508782	-0.267174523	-0.095565038	-0.189940379	-0.295190626	0.957226163	-0.592241439			
ENSMUSG00000025993	turquoise	268	276	464	665	479	393	897	852	956	989	1210	1262	1093	1637	1326	Slc40a1	53945	-0.931608607	-0.262369625	-0.410231841	0.085241098	-0.086790131	0.922231963	-0.388374095			
ENSMUSG00000026107	turquoise	715	581	649	749	766	642	1204	931	975	802	1013	1187	1046	1523	1491	Nabp1	109019	-0.881781754	-0.22225627	-0.247006682	0.01613866	-0.303091069	0.848631031	-0.299216577			
ENSMUSG00000026094	turquoise	1248	955	1089	1645	1469	1785	3286	1934	2461	1409	1447	2128	2366	2413	3090	Stk17b	98267	-0.651457874	0.281148101	-0.315169217	-0.010290562	0.028972386	0.61876515	-0.45879908			
ENSMUSG00000025981	turquoise	618	635	619	631	748	818	1467	931	1204	738	770	1084	1234	1239	1925	Coq10b	67876	-0.712822519	0.143632105	0.015079377	-0.270654895	-0.371931928	0.707315557	-0.437800876			
ENSMUSG00000025969	turquoise	3003	2574	2266	3610	3307	2881	6002	4308	4865	4510	4371	5362	5435	5853	6800	Nrp2	18187	-0.970154393	-0.215038891	-0.36802636	0.091210682	-0.046235164	0.96329401	-0.546188074			
ENSMUSG00000025964	turquoise	243	166	140	257	208	241	456	254	489	330	343	389	423	453	571	Adam23	23792	-0.815762372	-0.013692068	-0.244035849	-0.050661406	-0.089607138	0.804936749	-0.678055133			
ENSMUSG00000026193	turquoise	23189	19686	12863	20804	19262	19884	37982	30871	31641	29938	28700	39606	35084	38576	50900	Fn1	14268	-0.868352533	-0.120789342	-0.17142367	-0.060597644	-0.147253236	0.892132914	-0.680889621			
ENSMUSG00000039395	turquoise	165	109	92	93	111	143	195	207	165	181	148	228	260	339	258	Mreg	381269	-0.774997286	-0.006574106	0.048518587	-0.290680594	-0.388683773	0.800617994	-0.543198693			
ENSMUSG00000039323	turquoise	4503	5117	6495	5824	6795	4403	12052	10175	10628	7892	10267	10767	14395	13999	13653	Igfbp2	16008	-0.858767166	-0.428384649	-0.064627332	-0.203731555	-0.395201043	0.880474136	-0.303845908			
ENSMUSG00000100444	turquoise	27	11	11	19	17	14	53	43	69	40	59	51	47	48	86	C530043A13Rik	102633705	-0.800844076	-0.281840782	-0.150570982	-0.137116334	-0.161862857	0.829637067	-0.683958793			
ENSMUSG00000061815	turquoise	64	67	103	116	103	59	168	138	99	160	188	208	169	348	198	Rufy4	435626	-0.831097641	-0.37881139	-0.357648725	0.126991911	-0.17157781	0.814664969	-0.209030322			
ENSMUSG00000048480	turquoise	112	52	55	79	143	132	134	205	113	205	204	188	185	334	219	Cxcr1	227288	-0.865293506	-0.00245833	-0.362588675	0.137048102	-0.019948691	0.824828388	-0.370105198			
ENSMUSG00000026177	turquoise	154	141	204	181	258	152	404	600	317	483	470	670	470	734	573	Slc11a1	18173	-0.956489514	-0.330089015	-0.294993091	0.020773719	-0.174577004	0.961403568	-0.374252592			
ENSMUSG00000047330	turquoise	165	155	177	308	154	221	404	387	314	306	438	533	392	436	415	Kcne4	57814	-0.837829544	-0.101783299	-0.457553294	0.126861138	0.052034571	0.855574162	-0.518947492			
ENSMUSG00000026249	turquoise	1922	1881	1944	2016	2220	1953	3073	2965	3096	2583	2380	3186	3661	3394	3965	Serpine2	20720	-0.870092502	-0.164368021	0.000197245	-0.22510256	-0.421876176	0.87511375	-0.268319748			
ENSMUSG00000079465	turquoise	5485	4613	4278	6781	5497	4068	10896	8048	9757	6415	6638	8759	10012	8220	10263	Col4a3	12828	-0.775584494	-0.499039238	-0.104799533	-0.140125735	-0.188867702	0.816222732	-0.485880365			
ENSMUSG00000079445	turquoise	397	348	605	514	936	412	647	604	569	657	635	632	608	1087	713	B3gnt7	227327	-0.527812507	-0.251160866	-0.343808882	0.324293099	-0.090536187	0.415858458	0.430372449			
ENSMUSG00000090124	turquoise	121	83	118	144	147	141	209	253	201	241	223	309	228	395	232	Ugt1a7c	394432	-0.922771885	-0.12675357	-0.391755677	0.107025006	-0.087746328	0.896228722	-0.33472148			
ENSMUSG00000044337	turquoise	692	614	645	969	803	833	1924	1178	1340	692	794	1224	1380	1353	1731	Ackr3	12778	-0.591984956	0.030088862	-0.152267604	-0.140164728	-0.131058615	0.596692481	-0.418037336			
ENSMUSG00000048126	turquoise	3808	3189	2195	3601	2724	2552	5270	3862	4601	4203	4295	4526	4974	4599	6847	Col6a3	12835	-0.682547657	-0.315650832	-0.037686051	-0.124041966	-0.189764343	0.744677212	-0.677300652			
ENSMUSG00000026303	turquoise	513	456	569	651	853	528	1002	656	784	707	758	858	859	1003	912	Mlph	171531	-0.722035981	-0.254939152	-0.486340461	0.406812574	0.002269855	0.601359864	0.238441191			
ENSMUSG00000067071	turquoise	491	510	592	597	660	560	1060	772	989	848	754	925	1137	1012	1193	Hes6	55927	-0.917458191	-0.206738251	-0.169835749	-0.105908862	-0.283892458	0.911617012	-0.293249888			
ENSMUSG00000014602	turquoise	397	290	281	383	400	291	814	792	799	868	817	1201	911	1133	1194	Kif1a	16560	-0.962086652	-0.330410214	-0.241696391	-0.041393238	-0.182408563	0.975940347	-0.561779848			
ENSMUSG00000026285	turquoise	39	35	22	24	35	45	78	84	63	36	36	108	115	121	106	Pdcd1	18566	-0.716554781	-0.01625984	0.123083462	-0.360164225	-0.424167735	0.740549015	-0.503518021			
ENSMUSG00000040710	turquoise	1014	854	724	1620	1167	1267	2414	1207	1611	1693	1361	1683	1613	1503	2025	St8sia4	20452	-0.606145646	0.163051323	-0.796445952	0.593120387	0.62964335	0.55522959	-0.422980964			
ENSMUSG00000047496	turquoise	69	61	44	88	58	63	151	86	108	108	157	141	133	152	191	Rnf152	320311	-0.824380048	-0.198228966	-0.364886767	0.103476007	-0.015526687	0.836592876	-0.638930598			
ENSMUSG00000026321	turquoise	186	144	182	210	226	158	309	213	235	274	274	363	300	362	344	Tnfrsf11a	21934	-0.85432026	-0.311094913	-0.418064576	0.246175851	-0.092811992	0.795007033	-0.145737076			
ENSMUSG00000037035	turquoise	815	751	1406	1225	1185	1173	2910	2316	2022	941	897	1827	2379	1299	2287	Inhbb	16324	-0.282997559	0.00100958	0.03542697	-0.263889767	-0.150228791	0.316614647	-0.105128751			
ENSMUSG00000026384	turquoise	929	770	636	1380	1025	1078	2281	1090	1662	1461	1271	1315	1560	1451	2198	Ptpn4	19258	-0.639600927	0.090113447	-0.606947181	0.359480297	0.435564618	0.616128137	-0.582093341			
ENSMUSG00000050777	turquoise	345	377	569	706	561	394	971	657	662	594	684	755	821	795	759	Tmem37	170706	-0.633509705	-0.386668618	-0.497350941	0.282411357	0.067057561	0.609146353	0.069741772			
ENSMUSG00000026389	turquoise	1296	1004	1049	1639	1300	1506	2845	1641	2316	1995	1934	2121	2432	2374	2972	Steap3	68428	-0.888505245	0.041211285	-0.45288744	0.097113898	0.084438273	0.880410273	-0.656196944			
ENSMUSG00000026390	turquoise	445	251	506	431	383	354	1095	567	429	490	737	980	659	997	1089	Marco	17167	-0.714693317	-0.241835457	-0.336137297	0.072038447	-0.150183426	0.708551567	-0.362499933			
ENSMUSG00000036086	turquoise	141	100	101	107	154	145	194	485	255	397	398	687	399	786	426	Zranb3	226409	-0.960282381	-0.190384628	-0.230985114	-0.044924044	-0.222058561	0.961234484	-0.468321329			
ENSMUSG00000026405	turquoise	2	3	18	6	12	4	7	24	15	36	27	22	25	35	41	C4bp	12269	-0.837074817	-0.333188251	-0.227995024	-0.030691384	-0.232369908	0.840152999	-0.197320313			
ENSMUSG00000042510	turquoise	2346	1977	1996	1940	2046	2071	4096	2849	3683	1602	2394	2497	3806	3501	3716	AA986860	212439	-0.338892891	-0.038330725	0.476664039	-0.652694864	-0.692224853	0.383466297	-0.315288368			
ENSMUSG00000052688	turquoise	288	257	219	281	289	347	543	549	557	560	511	729	621	698	726	Rab7b	226421	-0.958561236	-0.053905382	-0.254912484	-0.047159446	-0.141475541	0.967434776	-0.59060884			
ENSMUSG00000042115	turquoise	238	202	273	288	213	207	454	415	355	333	322	477	498	353	390	Klhdc8a	213417	-0.693435806	-0.312686356	-0.14058695	-0.135641526	-0.169850738	0.75265413	-0.359217391			
ENSMUSG00000041757	turquoise	1256	1118	827	1636	1819	1455	2608	1502	1886	1684	1668	1615	1933	1674	2452	Plekha6	240753	-0.523020075	0.142650408	-0.65955004	0.626193145	0.571145064	0.420852046	-0.150728681			
ENSMUSG00000051998	turquoise	75	102	77	174	119	140	366	272	196	216	192	172	178	118	343	Lax1	240754	-0.473780435	0.035190353	-0.508435282	0.285930057	0.463112338	0.518026553	-0.467668259			
ENSMUSG00000041559	turquoise	432	350	331	342	348	370	589	731	576	534	568	774	788	693	624	Fmod	14264	-0.805531837	-0.167156176	-0.029321683	-0.216127422	-0.293633394	0.847170454	-0.479515882			
ENSMUSG00000042429	turquoise	155	157	241	335	382	168	415	231	362	242	277	416	332	336	339	Adora1	11539	-0.47129254	-0.359748954	-0.514532012	0.489770754	0.135152263	0.341214751	0.426590261			
ENSMUSG00000073557	turquoise	2399	2030	1430	2628	2213	2478	4654	2906	3932	2496	2614	2739	3909	3324	4831	Ppp1r12b	329251	-0.582489112	0.165464322	-0.080313151	-0.159506054	-0.005905591	0.612160072	-0.743098932			
ENSMUSG00000097993	turquoise	54	53	44	83	72	69	190	115	142	124	145	162	158	140	201	Ptprv	13924	-0.894801761	-0.169467077	-0.414987064	0.110953447	0.069006119	0.901243798	-0.617096011			
ENSMUSG00000031506	turquoise	172	157	181	228	178	225	381	324	306	297	309	351	339	364	372	Ptpn7	320139	-0.902325304	-0.003247222	-0.424670694	0.070253244	0.009077672	0.918517033	-0.523214051			
ENSMUSG00000041801	turquoise	1223	995	1084	967	910	977	1948	1981	2361	1710	1629	1777	2773	2210	2984	Phlda3	27280	-0.782446815	-0.243315489	0.21781574	-0.532889127	-0.530230783	0.866087715	-0.643747962			
ENSMUSG00000026398	turquoise	19	26	40	70	45	48	72	106	45	123	106	166	97	229	169	Nr5a2	26424	-0.908768798	-0.145729188	-0.454257864	0.163760338	-0.035145956	0.895442694	-0.362158059			
ENSMUSG00000033849	turquoise	81	41	19	68	25	59	107	75	134	65	41	80	137	53	152	B3galt2	26878	-0.220481101	0.126335614	0.22674306	-0.423240767	-0.090427675	0.307681891	-0.756370963			
ENSMUSG00000026360	turquoise	867	715	922	1510	1001	870	1595	1062	1135	1825	1582	1630	1293	1546	1628	Rgs2	19735	-0.653696186	-0.19843214	-0.698129187	0.521879621	0.332206417	0.614116297	-0.146450251			
ENSMUSG00000026358	turquoise	46	43	43	94	61	88	180	260	125	257	217	425	196	318	211	Rgs1	50778	-0.936223583	-0.133191753	-0.453068604	0.141919992	0.048483717	0.942987754	-0.5299625			
ENSMUSG00000026480	turquoise	648	509	748	781	712	693	1379	912	905	989	938	945	1106	1417	1103	Ncf2	17970	-0.765266612	-0.13513297	-0.41276084	0.116272643	-0.0542559	0.754809613	-0.240783811			
ENSMUSG00000026478	turquoise	5839	5009	4155	5769	4894	4487	9999	7132	7909	6121	6858	7184	9334	8938	11019	Lamc1	226519	-0.810838263	-0.345745406	0.050943657	-0.309348706	-0.385169578	0.880925339	-0.689179939			
ENSMUSG00000026475	turquoise	69	77	74	75	122	93	175	192	119	218	200	333	219	235	437	Rgs16	19734	-0.912184119	-0.168776182	-0.306959458	0.078832743	-0.107047512	0.901962429	-0.424723842			
ENSMUSG00000026471	turquoise	698	681	655	1123	838	947	1759	1022	1329	1144	1071	1209	1325	1285	1548	Mr1	15064	-0.792893269	0.139614017	-0.669743756	0.347712616	0.351988498	0.768837641	-0.481909976			
ENSMUSG00000026600	turquoise	2710	2539	2525	3033	3445	2332	4456	3257	3625	3160	3018	4197	4166	4894	4852	Soat1	20652	-0.77032398	-0.357279928	-0.178498073	0.099264793	-0.310740308	0.706079768	0.048728105			
ENSMUSG00000073530	turquoise	67	48	33	51	33	56	135	281	266	321	260	456	226	387	401	Pappa2	23850	-0.936806643	-0.214572421	-0.196445194	-0.118562866	-0.1969515	0.971602746	-0.660185258			
ENSMUSG00000040265	turquoise	230	222	243	289	276	222	542	361	403	428	460	409	500	518	652	Dnm3	103967	-0.910663216	-0.335986538	-0.308928348	0.024720351	-0.136362206	0.928433656	-0.476575863			
ENSMUSG00000026586	turquoise	338	289	225	376	278	407	653	421	651	463	436	594	585	566	790	Prrx1	18933	-0.792402573	0.175489646	-0.231136591	-0.084223898	-0.055591019	0.805212999	-0.742793281			
ENSMUSG00000026582	turquoise	30	31	24	19	12	22	47	140	51	111	111	226	94	223	267	Sele	20339	-0.896937892	-0.229600921	-0.131125878	-0.152969787	-0.305950205	0.93686805	-0.585924789			
ENSMUSG00000026580	turquoise	67	62	65	74	54	61	140	201	110	181	158	373	231	222	307	Selp	20344	-0.889923204	-0.2421367	-0.192846249	-0.089836179	-0.203069988	0.924710198	-0.549729643			
ENSMUSG00000026574	turquoise	2729	2339	2264	2532	2124	2638	4566	3343	4185	2987	2903	2759	4943	3846	5181	Dpt	56429	-0.550493919	0.060416647	0.355002144	-0.67369501	-0.512408895	0.663490928	-0.724327152			
ENSMUSG00000040713	turquoise	2727	2125	2466	2867	2508	2485	4967	3897	3869	3550	3598	4009	4692	5248	4547	Creg1	433375	-0.886073909	-0.219498665	-0.207741693	-0.11749273	-0.234806134	0.914559341	-0.490020843			
ENSMUSG00000040612	turquoise	332	278	211	318	314	323	686	1029	915	1030	902	1186	856	1080	1057	Ildr2	100039795	-0.945338315	-0.212771878	-0.247695026	-0.053272815	-0.118749021	0.973387858	-0.616049172			
ENSMUSG00000026678	turquoise	373	467	449	594	687	636	1026	1014	1689	1006	1208	2203	1105	1690	1843	Rgs5	19737	-0.929412732	-0.098284483	-0.312888767	0.045755938	-0.158306842	0.891526854	-0.38670993			
ENSMUSG00000026675	turquoise	198	234	209	244	219	215	458	379	348	369	319	408	584	448	463	Hsd17b7	15490	-0.837930371	-0.247445343	-0.064278416	-0.220214849	-0.256384436	0.901881879	-0.515058837			
ENSMUSG00000026656	turquoise	436	273	235	305	325	349	766	819	791	723	644	825	975	860	1175	Fcgr2b	14130	-0.889764883	-0.18227575	-0.063898761	-0.248597635	-0.240937812	0.938231356	-0.723578892			
ENSMUSG00000059089	turquoise	124	82	126	157	126	136	222	226	161	210	203	379	216	461	267	Fcgr4	246256	-0.868232047	-0.127392637	-0.372360526	0.095013169	-0.137379671	0.842967094	-0.335922818			
ENSMUSG00000059498	turquoise	576	505	620	525	570	525	959	1092	984	951	855	1212	1254	1531	1343	Fcgr3	14131	-0.912938991	-0.256570226	-0.035142423	-0.258355392	-0.429926688	0.942497077	-0.434363292			
ENSMUSG00000038370	turquoise	1238	1034	1247	1358	1168	1166	2632	1527	2092	1659	1622	1738	2618	1990	2898	Pcp4l1	66425	-0.785455815	-0.228068181	-5.26E-05	-0.355644597	-0.351945	0.847333429	-0.628015511			
ENSMUSG00000058715	turquoise	515	360	495	416	504	470	904	824	636	837	776	798	935	1136	975	Fcer1g	14127	-0.882288777	-0.200106226	-0.200000022	-0.087714918	-0.233841127	0.900493969	-0.432298686			
ENSMUSG00000006403	turquoise	63	35	35	33	59	14	33	127	71	60	74	104	145	115	88	Adamts4	240913	-0.70621307	-0.523149859	0.188548003	-0.327234678	-0.487888355	0.738005267	-0.253505443			
ENSMUSG00000038209	turquoise	53	55	50	72	78	98	131	240	359	294	298	217	665	188	529	Itln1	16429	-0.729133322	-0.115176944	0.00081959	-0.283987091	-0.196645287	0.776319075	-0.583189247			
ENSMUSG00000004707	turquoise	145	133	127	194	177	190	341	325	219	350	319	402	294	429	364	Ly9	17085	-0.930695352	-0.099116505	-0.502637543	0.221289478	0.083361865	0.924049404	-0.468474291			
ENSMUSG00000038179	turquoise	114	111	76	149	104	132	266	287	268	289	272	311	255	279	306	Slamf7	75345	-0.898659682	-0.139523167	-0.352957719	0.044409472	0.03235312	0.934236646	-0.655940463			
ENSMUSG00000038147	turquoise	732	556	681	915	905	863	1651	1412	1139	1597	1596	1633	1614	2408	1790	Cd84	12523	-0.943627795	-0.148058783	-0.441328619	0.136159943	-0.016179035	0.931126215	-0.449650363			
ENSMUSG00000044708	turquoise	24	41	29	34	22	47	60	89	70	67	88	103	83	88	122	Kcnj10	16513	-0.860869017	-0.013367339	-0.18361387	-0.130571813	-0.185974899	0.908226959	-0.619199257			
ENSMUSG00000005339	turquoise	14	11	11	6	10	5	42	112	64	104	112	75	84	136	140	Fcer1a	14125	-0.897548139	-0.353015192	-0.115367934	-0.18650603	-0.263031126	0.953198469	-0.611559022			
ENSMUSG00000037872	turquoise	9	7	6	16	8	18	29	33	21	38	50	61	34	62	42	Ackr1	13349	-0.925076841	-0.066303162	-0.44870994	0.128044258	0.023329733	0.926759696	-0.594212815			
ENSMUSG00000037860	turquoise	139	121	100	224	178	182	293	216	160	236	234	252	189	228	269	Aim2	383619	-0.647689872	0.096076688	-0.811349084	0.656572148	0.561201945	0.593212955	-0.260681119			
ENSMUSG00000073490	turquoise	200	123	116	189	153	139	333	244	233	281	284	349	272	310	381	Ifi207	226691	-0.879347437	-0.271863945	-0.388915007	0.132657468	0.01436705	0.890001197	-0.609239506			
ENSMUSG00000026535	turquoise	169	90	125	145	89	98	223	221	223	233	224	248	259	269	348	Ifi202b	26388	-0.822744954	-0.329802377	-0.091492298	-0.234928708	-0.284727173	0.888068013	-0.663995329			
ENSMUSG00000038776	turquoise	3095	2472	2750	3690	3535	3587	7102	4353	5486	4401	4325	4524	5871	4996	7712	Ephx1	13849	-0.864316029	0.041740739	-0.377115887	0.027934036	0.048486566	0.85929392	-0.594133161			
ENSMUSG00000026620	turquoise	244	206	149	201	208	205	386	288	414	280	278	415	441	357	464	Mark1	226778	-0.813201689	-0.140590364	0.043167661	-0.264618505	-0.330962259	0.834084055	-0.620006738			
ENSMUSG00000039239	turquoise	924	800	914	1500	1152	1063	2728	1377	2211	1606	1692	1911	2040	1814	2475	Tgfb2	21808	-0.811536518	-0.168516063	-0.504965846	0.182150293	0.14927388	0.797263868	-0.501202601			
ENSMUSG00000026628	turquoise	362	405	442	339	503	467	814	642	498	459	430	661	607	724	844	Atf3	11910	-0.631552165	0.05787307	-0.099582383	-0.046319862	-0.281314225	0.610430937	-0.072109109			
ENSMUSG00000026623	turquoise	3070	2644	2185	3801	2919	2970	6508	4033	5372	4060	3725	4014	5361	4821	6322	Lpgat1	226856	-0.78212513	-0.110681359	-0.24689147	-0.069670229	0.022685687	0.827029748	-0.746804109			
ENSMUSG00000016200	turquoise	65	75	60	159	138	95	379	198	265	197	185	184	204	189	324	Syt14	329324	-0.6963512	-0.20676502	-0.4859767	0.232220918	0.26814328	0.696866955	-0.46280028			
ENSMUSG00000026639	turquoise	3012	2562	3262	3555	4219	2941	4819	3733	4367	3424	3641	4657	4710	4737	4522	Lamb3	16780	-0.598317626	-0.194325033	-0.295843769	0.239941691	-0.133035986	0.490096601	0.335657364			
ENSMUSG00000016494	turquoise	3247	2946	2890	3979	3585	3494	7660	6519	7927	6426	6876	7064	8411	8598	10166	Cd34	12490	-0.941635245	-0.207163446	-0.211334277	-0.124488641	-0.183101307	0.96908292	-0.619973622			
ENSMUSG00000039145	turquoise	610	427	373	652	496	591	1091	692	822	803	700	807	880	830	1070	Camk1d	227541	-0.798680307	0.067991273	-0.439924351	0.136546944	0.201963494	0.814256762	-0.75501457			
ENSMUSG00000025780	turquoise	361	364	340	475	307	527	741	465	545	501	521	609	672	877	917	Itih5	209378	-0.71191333	0.26294009	-0.25182689	-0.072601811	-0.141763297	0.727305156	-0.581626388			
ENSMUSG00000026728	turquoise	19413	16685	17072	19591	18934	18428	36328	24081	28980	26179	25609	27717	33406	34282	37624	Vim	22352	-0.941915064	-0.177437156	-0.182159854	-0.123941652	-0.268108773	0.961135224	-0.558486615			
ENSMUSG00000026712	turquoise	2902	2447	2532	3194	3329	3089	5328	3889	4139	4535	4074	4749	4840	6610	6048	Mrc1	17533	-0.933711301	-0.0935478	-0.373102869	0.115054163	-0.109191471	0.901872297	-0.376880052			
ENSMUSG00000026786	turquoise	566	507	524	789	745	738	1327	737	762	1013	935	904	950	1166	1059	Apbb1ip	54519	-0.73425989	0.065949727	-0.733044075	0.526693182	0.373344926	0.673774151	-0.24006516			
ENSMUSG00000026981	turquoise	189	154	190	204	219	194	370	462	222	378	303	579	384	566	398	Il1rn	16181	-0.881473547	-0.20120261	-0.325606421	0.072375289	-0.107631865	0.883123348	-0.348272368			
ENSMUSG00000036833	turquoise	545	465	545	758	686	647	1179	847	810	989	886	1036	884	1316	1230	Pnpla7	241274	-0.898900435	-0.084992197	-0.59127632	0.320040052	0.106281485	0.858182972	-0.31406358			
ENSMUSG00000026958	turquoise	621	475	614	683	700	543	1105	782	828	738	781	996	964	1147	1260	Dpp7	83768	-0.89335568	-0.302651984	-0.295633958	0.057053179	-0.261340996	0.853823365	-0.217392987			
ENSMUSG00000026956	turquoise	607	580	836	903	777	686	1385	969	1144	984	877	1142	1262	1159	1238	Uap1l1	227620	-0.776263256	-0.231718753	-0.363066249	0.06594981	-0.092888615	0.767052867	-0.117221586			
ENSMUSG00000036040	turquoise	1042	1145	1022	917	636	566	1493	1578	1531	972	1754	1707	2104	2370	2218	Adamtsl2	77794	-0.630175212	-0.458643878	0.26846523	-0.480994361	-0.644131823	0.718113121	-0.461979035			
ENSMUSG00000026837	turquoise	1315	1151	816	1218	768	853	1654	1241	1468	1002	1139	1434	1750	1263	1755	Col5a1	12831	-0.2264086	-0.23417707	0.396145166	-0.478183651	-0.417163885	0.344900356	-0.558720861			
ENSMUSG00000026785	turquoise	522	582	459	517	539	320	889	719	737	553	806	794	1002	868	1300	Pkn3	263803	-0.66773669	-0.585719102	0.176646366	-0.291030133	-0.522589501	0.720167307	-0.33889631			
ENSMUSG00000026840	turquoise	535	426	345	527	385	385	859	645	790	644	722	610	802	817	995	Lamc3	23928	-0.768687966	-0.310385759	-0.05649264	-0.220305208	-0.238512269	0.841939862	-0.735253104			
ENSMUSG00000026822	turquoise	1196	2094	4206	2651	5595	1433	3455	4364	3299	4266	3487	5616	4060	6395	4840	Lcn2	16819	-0.657219857	-0.447971631	-0.2687409	0.19082409	-0.194463083	0.59504948	0.310681956			
ENSMUSG00000026817	turquoise	494	507	517	651	690	832	1005	868	1081	919	760	1237	1159	1082	1430	Ak1	11636	-0.874925993	0.208212356	-0.31980564	0.04191139	-0.061431842	0.834058797	-0.371087145			
ENSMUSG00000004105	turquoise	1132	1056	887	1759	1539	1838	3403	1447	1934	2059	1746	1879	1936	1787	2809	Angptl2	26360	-0.511299082	0.367277587	-0.787765435	0.602277552	0.667261612	0.448922757	-0.388119414			
ENSMUSG00000047250	turquoise	1367	1329	1700	1789	2135	1450	2769	2088	2118	2145	2356	2582	2582	2864	2846	Ptgs1	19224	-0.838807303	-0.296071184	-0.434243224	0.267524084	-0.081986634	0.773386574	0.032973622			
ENSMUSG00000026749	turquoise	839	792	863	918	1265	819	1334	1166	1280	1000	1070	1301	1642	1533	1473	Nek6	59126	-0.724901879	-0.259411833	-0.061662437	-0.020849241	-0.352402115	0.6545071	0.145095019			
ENSMUSG00000026866	turquoise	84	61	77	100	75	85	149	138	83	142	154	191	168	224	169	Kynu	70789	-0.858882834	-0.158520099	-0.376231421	0.094738688	-0.071379579	0.864477345	-0.43854556			
ENSMUSG00000060703	turquoise	837	649	849	855	875	805	1580	1115	1292	1084	1107	1118	1516	1494	1558	Cd302	66205	-0.884989463	-0.200351708	-0.144105435	-0.186431118	-0.322240944	0.895773882	-0.399638725			
ENSMUSG00000026980	turquoise	816	653	580	1033	1101	852	1595	1202	1205	1408	1400	1619	1283	2284	1785	Ly75	17076	-0.909247133	-0.1523794	-0.515596693	0.301530463	0.057223181	0.852638837	-0.332052572			
ENSMUSG00000086196	turquoise	7	3	4	3	8	4	7	24	5	23	24	34	15	36	18	Gm13571	102636093	-0.918783625	-0.274111062	-0.308719663	0.081083233	-0.13359641	0.912583946	-0.392136008			
ENSMUSG00000026971	turquoise	905	901	920	1297	942	771	1739	1503	1616	1121	1295	1591	2015	1593	2058	Itgb6	16420	-0.774459724	-0.447802898	-0.016486887	-0.257691065	-0.347940485	0.832614803	-0.414342575			
ENSMUSG00000027068	turquoise	70	53	72	54	49	65	175	135	115	147	104	165	196	166	158	Dhrs9	241452	-0.828377899	-0.205724047	-0.081913311	-0.25629776	-0.254203664	0.89708017	-0.634326577			
